"name","releaseDate","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId"
"The Star Named EOS","1721606400000","4088","14.99","48781","2.0315298114286233","98","AA","PLAYISM","Silver Lining Studio","1619230"
"Akimbot","1724889600000","2972","19.99","48668","4.851068204451029","89","Indie","PLAION","Evil Raptor","1843540"
"Sex College 🔞","1711166400000","6811","9.99","48572","4.650505722876416","75","Indie","Lust Desires 🖤","Lust Desires 🖤","2820590"
"Hero Emblems II","1722816000000","4958","11.99","48495","11.237179230279276","57","Indie","HeatPot Games","HeatPot Games","2417940"
"Island of Penance","1712894400000","5107","12.99","48490","2.679548204994835","58","Indie","Kagura Games","ONEONE1","1287130"
"ダンジョンアーティファクト","1712116800000","6339","9.99","48382","10.618725788107305","95","Indie","ExertionGame","いとこん","2144220"
"RUMBLE BLAZING","1722556800000","2468","24.99","48303","2.4797438578385345","74","Indie","Nekonomeme","Nekonomeme","2827610"
"CATO: Buttered Cat","1725494400000","5423","10.99","48270","2.413951122043976","99","Indie","GCORES PUBLISHING","Team Woll","1999520"
"Prisoners","1723680000000","15169","4.99","48107","4.380900979983956","81","Indie","Brave Cat Games","Brave Cat Games","2725200"
"Only Up !","1709528400000","7742","6.99","47875","1.2701252513089947","24","Indie","WGI GAMING","WGI GAMING","2842590"
"Pixel Noir","1707368400000","3129","24.99","47871","8.461323747170796","67","Hobbyist","","SWDTech Games","754320"
"Time to Morp","1709787600000","3073","19.99","47790","6.805357085340336","86","Indie","Yogscast Games","Team HalfBeard","977510"
"Ad Fundum","1718251200000","8182","6.99","47737","7.320560806047535","96","Indie","Oldbut Gold","Oldbut Gold","2647820"
"Angel Tear: Goddess Betrayed","1721347200000","3242","19.99","47476","3.103139905214389","89","Indie","Kagura Games","SYRUP many milk","2420640"
"AMANATSU ~Perfect Edition~","1715832000000","3238","19.99","47037","12.388325156143681","97","Indie","Shiravune","AZARASHI SOFTWARE","2825300"
