"name","releaseDate","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId"
"Brocula","1715227200000","1336","19.99","22581","2.1131176992398535","51","Indie","Destroyer Doggo","Destroyer Doggo","1364740"
"Songs Of Death","1722297600000","3966","6.99","22568","4.412881401957557","86","AA","Lightning Games","DreamStep,Wild Kid Games","2276420"
"Buckshot With Friends","1708318800000","6685","3.99","22509","0.6779560081356253","52","Indie","yythgim","yythgim","2808270"
"Lilja and Natsuka Painting Lies","1721779200000","1085","22.99","22449","8.273406759307356","100","Indie","Frontwing USA,Bushiroad Inc.","Frontwing","2840900"
"ERO TRAP DUNGEON ROGUELIKE","1720569600000","1662","14.99","22422","8.865400663776798","81","Indie","Ketchup AjiNo Mayonnaise","Ketchup AjiNo Mayonnaise","3016750"
"Deck of Souls","1718856000000","2482","10.99","22371","4.267184962289173","92","Indie","HeroCraft PC","Bigboot Studios","2088770"
"灵境·修仙界","1718942400000","2241","9.99","22360","8.868584048963351","87","Indie","深圳市灵境互娱科技有限公司","深圳市灵境互娱科技有限公司","2799930"
"Stigma-ARIA","1725580800000","1621","16.99","22306","1.6886304185764434","85","Indie","072 Project","イシコロドウ","2710010"
"GraalOnline Era","1708059600000","21644","0","22299","41.293619777372236","71","Indie","Toonslab","GraalOnline","2358050"
"HAELE 3D - Hand Poses Lite - Drawing References","1717387200000","1659","17.99","22288","8.81586618253196","94","Indie","HAELE 3D","Ige Olwen","2570230"
"EarthRoyale","1714363200000","3874","7.99","22222","14.733386912432897","89","Indie","Lizzycat / Lizabeth Gidlund","Lizzycat / Lizabeth Gidlund","2016220"
"Dread Weight","1722211200000","2368","14.99","22137","3.2817103996906525","88","Indie","Deer Dream Studios","Deer Dream Studios","2399060"
"Secret Archives","1709010000000","1678","15.99","22129","6.1555814515617016","71","Indie","Juice Game","Juice Game","2374660"
"Thyria","1709182800000","1629","15.99","22099","2.4855804216069153","94","Indie","GrabTheGames","Twokats","1608590"
"Z.O.N.A: Origin","1724630400000","1444","19.99","22080","2.8680074794101267","87","Indie","AGaming+","AGaming+","2539520"
"ATTA -Spot the Oddities in the Strange Hotel-","1709010000000","5245","4.99","22014","1.0828757516021639","84","Indie","IDEA FRUITION","IDEA FRUITION","2827450"
"鬼打墙（剧情版）","1704430800000","3120","5.99","21939","2.69150452328492","76","Indie","KX GAMES","KX GAMES","2642700"
"ワールド・ネバーランド２～プルト共和国物語～EXPERIENCE OF FICTION LIFE","1715745600000","1272","24.99","21939","11.069183354999083","61","Indie","althi Inc.","althi Inc.","682550"
