"name","releaseDate","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId"
"Everlasting Flowers - Where there is a will, there is a way","1724803200000","2966","29.99","80055","5.093116591993197","86","Indie","RIGHTWAY","sprite,flowers.studio","2795270"
"Let's take a bath with Purin 2","1720656000000","6829","17.99","79862","1.285001362466089","79","Indie","Parabolica Games","Parabolica Games","2973500"
"Step-Sister's Pussy 🔞","1714795200000","11885","9.99","79636","1.359626699786155","66","Indie","Lust Desires 🖤","Lust Desires 🖤","2889280"
"DEVIATOR","1722470400000","13896","6.99","79632","4.154207295492834","72","AA","SapStaR Games","Gami Studio","2620730"
"Berserk Boy","1709701200000","5193","20","79600","4.544247462000582","94","Indie","BerserkBoy Games","BerserkBoy Games","1561340"
"Sinners Landing","1710993600000","6625","14.99","79552","6.418405065171533","92","Indie","Flexible Media","Flexible Media","1816140"
"Klaroro - Abyss of the Soul","1719201600000","13771","6.99","79363","1.154620119000862","81","Indie","Mango Party,Mango Party News","Ccryu","2822010"
"Tortuga - A Pirate's Tale","1707800400000","3832","24.99","79354","14.996518560571472","61","AA","Kalypso Media","Gaming Minds Studios","1604250"
"Go Mecha Ball","1706158800000","5660","19.99","78981","5.399627908579028","94","Indie","Super Rare Originals","Whale Peak Games","2008510"
"Little Lives","1709874000000","8703","12.99","78886","9.53390087677779","85","Indie","Houndstooth Games","Houndstooth Games","1505560"
"Taora : Survival","1716436800000","6923","13.99","78871","5.789378879025474","72","Indie","Tulpar Games,TheGamesFortress","Tulpar Games","2165470"
"Vampire Therapist","1721260800000","5819","14.99","78504","5.388496619369406","98","Indie","Little Bat Games","Little Bat Games","2481020"
"Dustborn","1724112000000","2896","29.99","78165","6.593134644087161","70","Indie","Spotlight by Quantic Dream","Red Thread Games","721180"
"Helskate","1707973200000","4029","24.99","78067","3.456231082834484","85","Indie","Phantom Coast","Phantom Coast","1295630"
"BioGun","1722384000000","5251","19.99","78048","12.534388822459313","93","Indie","Ravenage Games","Dapper Dog Digital","1219240"
"Древние Русы","1721952000000","10257","12.99","77800","4.513675478999976","98","Indie","Honor Games","Honor Games","2669860"
"My Special Summer Vacation 2","1719460800000","6712","14.99","77507","3.3273859507086305","75","Indie","Kagura Games","P.+","2923560"
"My Lovely Empress","1724112000000","5046","19.99","77493","5.005057844039444","87","Indie","Neon Doctrine","GameChanger Studio,Neon Doctrine","2052990"
"RollScape","1716350400000","13298","6.99","76991","3.6407021344310766","85","Indie","Leonardo the Vinchy","Leonardo the Vinchy","2904290"
"AsHes","1719115200000","4181","24.99","76979","7.838338003454954","65","Indie","Yanmo Games","Yanmo Games","2455040"
"World War Armies","1714622400000","16595","0","76971","21.366033645340455","55","Indie","Hypemasters, Inc.","Hypemasters, Inc.","2438160"
"Hero Tale","1711598400000","17823","4.99","76628","77.4947975197993","70","Indie","Weird Johnny Studio","Weird Johnny Studio","2513240"
"HAREM！RANCH LIFE","1724371200000","5238","17.99","76619","3.634375724102398","72","Indie","072 Project","GNT BOKUJO","2420240"
"Feather Party","1714708800000","17907","4.99","76256","2.578855667114769","90","Indie","Teneke Kafalar Spotlight","threeW","2300230"
"Family Breeding","1714795200000","9451","9.99","75575","2.2619202418359845","81","Indie","Whiteleaf Studio","Whiteleaf Studio","2853840"
"CLICKOLDING","1721088000000","30448","2.99","75559","0.9591748044351497","87","Indie","Strange Scaffold,Outersloth","Strange Scaffold","3011440"
"Rugby 25","1719547200000","2783","29.99","75115","4.477776737220209","31","AA","Nacon","Big Ant Studios","2340870"
"Retail Company Simulator","1722902400000","7846","11.99","74807","14.429833855747482","95","Indie","Business Tycoon","Business Tycoon","3089130"
"MADiSON VR","1714622400000","2659","34.99","74572","3.281796387051666","80","Indie","BLOODIOUS GAMES","BLOODIOUS GAMES","2414550"
"Movies Tycoon","1721001600000","2928","29.99","74220","7.186581816469715","71","Indie","PixelCraze s.r.o.","PixelCraze s.r.o.","2659050"
"Absolute Fear -AOONI- / 最恐 -青鬼-","1714017600000","10121","9.99","74140","3.0040921096982327","46","Indie","LiTMUS Co., Ltd.","LiTMUS Co., Ltd.","2889120"
"JOY OF PROGRAMMING - Software Engineering Simulator","1706590800000","5061","17.99","73977","8.240086829646355","86","AA","PlayWay S.A.","Prof. Scherer","2216770"
"Love Sucks: Night Two","1714104000000","8567","9.99","73926","7.128949548171759","0","Indie","Critical Bliss","Art Witch Studios","1719310"
"Combat Mission: Final Blitzkrieg","1706158800000","2318","59.99","73845","28.69510089927749","91","AA","Slitherine Ltd.","Battlefront","2676000"
"CUCKOLD'S GYM","1709182800000","10845","9.99","73725","1.1268257494695317","52","Indie","GeoCuck Group","GeoCuck Group","2757250"
"Death From Above","1708578000000","9370","9.99","73720","2.636919618604075","96","Indie","Lesser Evil","Rockodile","2300160"
"Hot Office: Sex Story 🔞","1708146000000","11261","9.99","73563","1.6649434272010375","74","Indie","Romantic Room","Romantic Room","2727440"
"Cartel Simulator","1704517200000","8484","10.99","73464","6.277972444255539","69","Indie","ITK","ITK","2536490"
"My Demonic Romance","1714536000000","4332","19.99","73449","3.198792096558785","80","Indie","Andrealphus Games","Andrealphus Games","2370140"
"Natsu-Mon: 20th Century Summer Kid","1719374400000","2115","39.99","73248","5.826172175775137","100","AA","Spike Chunsoft Co., Ltd.","TOYBOX Inc.,Millennium Kitchen Co., Ltd.","2839280"
"Bewitching Sinners","1714622400000","4546","17.99","73029","10.358212773282307","98","Indie","Miss Xero","Miss Xero","2615670"
"Logiart Grimoire","1710475200000","5375","19.99","73024","24.275998793839463","97","Indie","Jupiter Corporation","Jupiter Corporation","2492390"
"Fatermyth","1713844800000","8947","9.99","72746","7.219293184789795","84","Indie","Merlion Games","KDream","2530420"
"NejicomiSimulator TMA02 - My Own Dedicated Weak Pussy Cow Vtuber's Confinement and Training! Choke-Clamping Deep-Digging RIP to her Life Masochistic-Orgasm!- (cheeky big boob faphole understood her position)","1716436800000","3616","24.99","72642","15.223036272162016","86","Indie","やぶから堂,LewdLoco","やぶから堂,たまぷろじぇくと","2432040"
"Forgotten Seas","1717732800000","3482","24.99","72549","23.006322622831195","83","Indie","indie.io","Pangea Game Studios","2168260"
"Malware","1722384000000","32488","2.99","72453","1.863085353681632","88","Indie","Odd Games","Odd Games","3019370"
"REAL ESTATE Simulator - FROM BUM TO MILLIONAIRE","1711080000000","7849","12.99","72346","3.020761271053206","51","Indie","Midnight Games","Geekon","2738900"
"SCHiM","1721260800000","5057","24.99","72271","2.506968572426479","77","Indie","Extra Nice,PLAYISM","Ewoud van der Werf,Nils Slijkerman","1519710"
"KRITIKA: ZERO","1721260800000","5464","0","72154","22.60248534969474","50","Indie","株式会社G・O・P","VALOFE","3007020"
"Twilight Survivors","1711944000000","29195","2.99","72149","10.15643345075452","89","Indie","DORIDORI STUDIO","DORIDORI STUDIO","2788310"
