"name","releaseDate","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId"
"Splodey","1717473600000","4765","12.99","42892","5.480412642885778","92","Indie","Mad Mushroom","Send It Studios","2204170"
"Staffer Reborn","1714104000000","17834","2.99","42836","0.8715559011038803","98","Indie","Team Tetrapod","Team Tetrapod","2658920"
"Nodebuster","1723507200000","15819","2.99","42568","2.7462502016137416","99","Indie","Goblobin","Goblobin","3107330"
"Planetaries","1723680000000","2578","19.99","42508","8.339327194184754","61","Indie","EY-Studio","EY-Studio","2800450"
"It Was Raining That Night","1716955200000","4838","11.99","42490","1.922429877151138","74","Indie","Deafperv","VeronicaPerv","2543770"
"E.E.R.I.E2","1718510400000","8217","7.99","42377","5.604201762620815","84","Indie","Ureasoft","Ureasoft","2162780"
"Escort's Secrets 18+","1704517200000","6650","9.99","42371","2.715271067892765","65","Indie","BanzaiProject","BanzaiProject","2668160"
"Anno 1602 History Edition","1713758400000","8401","9.99","42332","6.856321831993535","67","AAA","Ubisoft","Ubisoft Mainz","2820130"
"Irotoridori No Sekai HD - The Colorful World","1708059600000","1533","34.99","42280","33.408494179391745","99","Indie","NekoNyan Ltd.","FAVORITE","2591380"
"XiuzhenWorld / 修真世界","1714449600000","7497","9.99","42253","85.5434139318437","77","Indie","Noforgetit","Noforgetit","2868430"
"Spire Horizon","1707886800000","5676","9.99","42180","8.823513240410309","80","Indie","Mendoka","Mendoka","2321880"
"Kristala","1717646400000","1748","29.99","42089","3.270808205157224","90","Indie","Astral Clocktower Studios","Astral Clocktower Studios","1206410"
"Bureau of Contacts","1718856000000","7620","7.99","42019","2.871687524854979","84","Indie","MIROWIN","MIROWIN","2840210"
"Lilim wants to Lv up♥","1724716800000","5130","9.99","41953","4.206552409983751","81","Indie","Playmeow","Yoü studio,Maker製造機","2651570"
"myPOPGOES","1722470400000","11465","4.99","41949","3.9641250967335666","84","Indie","Clickteam","Kane Carter","2429350"
"Hypnosis Card","1705640400000","10812","4.99","41891","2.016618209055319","77","Indie","Lovely Games","","2544990"
"SOUL COVENANT","1713412800000","1026","49.99","41764","2.971468127622907","75","Indie","Thirdverse, Co., Ltd.","Thirdverse, Co., Ltd.","2237740"
"Just Click The Button","1705467600000","15760","2.99","41751","6.070071139889177","93","Indie","Simon Eftestol","Simon Eftestol","2577760"
"Tools Up! Ultimate Edition","1704430800000","4051","34.99","41386","4.194304726038506","79","Indie","Untold Tales","The Knights of Unity","2551920"
"Journey to the West Survivor","1711252800000","10946","5.99","41369","10.398218727760353","87","Indie","Leyo Games","Buding Games","2450100"
"Idle Heros","1714536000000","18688","0","41269","74.30369938660196","85","Indie","EGAME","EGAME","1686290"
"Mylene and the Lust temple","1706763600000","3866","13.99","41218","1.414527658448737","89","Indie","072 Project","キラ☆タマ","2562550"
"Back","1722297600000","7243","6.99","41201","1.3869485359413716","83","Indie","MYSTERY CROWN","MYSTERY CROWN","2913040"
"The Necromancer Arises","1711339200000","5251","9.99","41069","2.1760315103395516","82","Indie","Whiteleaf Studio","Whiteleaf Studio","2413570"
"Operation: Polygon Storm","1723420800000","3786","14.99","40987","2.3359190909522582","80","Indie","Untold Tales","Toxic Studio","2310160"
"Old Coin Pusher Friends 3","1721865600000","12042","3.99","40967","12.495623448004896","97","Indie","STP WORKS","STP WORKS","3040390"
"E-Startup 2 : Business Tycoon","1715659200000","4124","12.99","40926","4.321572074374925","80","Indie","Polytale Games","Polytale Games","2547750"
"Riviera: The Promised Land","1721088000000","1601","34.99","40866","8.112560411307811","96","Indie","Sting","Sting","2891280"
"Life Eater","1713240000000","3362","14.99","40857","1.761433052706857","85","Indie","Strange Scaffold,Frosty Pop","Strange Scaffold","2632930"
"This Grand Life 2","1718856000000","2945","16.99","40793","13.109199416556264","92","Indie","Poking Water Games","Poking Water Games","2459490"
"Read Only Memories: NEURODIVER","1715745600000","3328","14.99","40762","3.6604109735572172","70","Indie","Chorus Worldwide Games","MidBoss, LLC.","1293910"
"Alchemist Quest","1706245200000","4175","12.99","40748","3.2653050394150718","77","Indie","Kagura Games","ShiroKuroSoft","2657720"
"Kitten Burst","1705726800000","2073","24.99","40690","7.5220904440873175","100","Indie","Lithodelphis","Lithodelphis","1592360"
"Dusk City","1721865600000","2052","24.99","40666","2.834362257995707","99","Indie","Dieselmine","Suteneko Lab.","2973120"
"Class of Heroes: Anniversary Edition","1714104000000","2484","19.99","40490","17.326049577224996","77","Indie","PQube,ACQUIRE Corp.","Zerodiv","2195780"
"Beach Club Simulator 2024","1723766400000","7981","8.99","40336","5.27093331340532","82","Indie","Catsupp Games","Catsupp Games","2856030"
"Beyond Hanwell","1724544000000","2484","17.99","40218","3.1956422657074275","82","Indie","Steel Arts Software Ltd","Steel Arts Software Ltd","2565550"
"Armored Suit Solgante","1718337600000","4236","12.99","40188","3.983391950568567","82","Indie","Kagura Games","GapTax","2914470"
"Sun Breed","1713240000000","4222","14.99","40182","4.677975289079946","92","Indie","SuperWriter Games LLC","SuperWriter Games LLC","2573950"
"风流公子romantic young man","1721865600000","10210","4.99","40067","2.6870168978411","90","Indie","Ronin SoftWork","Ronin SoftWork","2829600"
"My step family","1710475200000","5403","9.99","40051","0.8797257734494592","56","Indie","Kun family","Kun family","2753820"
"无休仙途","1721865600000","8822","5.99","40010","43.543667833485095","77","Indie","GOCORE","GOCORE","2654540"
"Lazaret","1708405200000","4436","10.99","39971","2.9691842032890894","88","Indie","Aegon Games","Aegon Games","2088280"
"修仙神诀","1719460800000","12909","0","39887","12.383104587172468","74","Indie","雷鸣工作室","雷鸣工作室","3029670"
"Silent Rain","1721001600000","5574","9.99","39816","3.669721526285395","67","Indie","Seedlers Interactive","2Brains&Coffee,Seedlers Interactive","1791910"
"Slavania","1710302400000","3238","15.99","39769","5.31468190304819","64","Indie","FrostLeaf Games LLC,Game Art Pioneers","FrostLeaf Games LLC","1349600"
"Rebirth! New Lover","1722902400000","5441","8.99","39756","3.3820040022280256","91","Indie","次元边界","次元边界","2803810"
"Echocalypse: The Scarlet Covenant","1717732800000","7701","0","39735","8.64651914648372","54","Indie","Yoozoo (Singapore) Pte. Ltd","Yoozoo (Singapore) Pte. Ltd","2917030"
"Candy & Toys Store Simulator","1719374400000","3531","12.99","39589","8.506729676566618","91","Indie","Ox Games","Ox Developer","3013700"
"Cats Hidden Around the World","1717905600000","10740","4.99","39527","2.280299730203956","97","Indie","Travellin Cats","Travellin Cats","2377970"
