"name","releaseDate","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId"
"Ancient Warfare 3","1706245200000","51499","12.99","387300","30.295830170722663","95","Indie","Jannik Nickel","Jannik Nickel","758990"
"Mech Engineer","1716264000000","33261","14.99","386128","14.715389523377375","76","Indie","MicroProse Software","KiberKreker","1428520"
"Knightly Passions","1714104000000","38551","11.99","384939","8.01276168996395","92","Indie","FEYADA","FEYADA","1554260"
"LoveCraft","1712635200000","17668","0","382551","61.80570131947321","79","Indie","WEALTHBIRD","WEALTHBIRD","2692440"
"SunnySide","1718337600000","16881","29.99","381290","27.803761438191454","71","Indie","Merge Games,Maximum Entertainment","RainyGames","1746930"
"Beltmatic","1711684800000","62742","6.99","381263","11.198090277602097","93","Indie","Notional Games","Notional Games","2674590"
"Dicefolk","1709010000000","31466","14.99","380842","13.233308403295124","90","AA","Good Shepherd Entertainment","LEAP Game Studios,Tiny Ghoul","1996430"
"Snezhinka:Sentinel Girls2","1724630400000","57593","7.99","378779","4.930358135271555","97","Indie","hinyari9","hinyari9","2608350"
"Garten of Banban 7","1715313600000","42078","9.99","378109","4.0237507905476075","83","Indie","Euphoric Brothers","Euphoric Brothers","2693060"
"Anomaly Agent","1706072400000","57981","11.99","375083","10.02888096448273","97","Indie","Phew Phew Games,GameDev.ist","Phew Phew Games","2378620"
"Withering Rooms","1712289600000","17777","24.99","373115","18.018266950413388","98","Indie","Perp Games","Moonless Formless","2006140"
"Clothing Store Simulator","1718596800000","36906","12.99","372353","17.46639916897099","94","Indie","Kiki Games","Kiki Games","2923390"
"Sketchy's Contract","1712635200000","51018","8.99","367697","10.275375648935107","83","Indie","Dimensionless Games","Dimensionless Games","2823080"
"Dealer Simulator","1706504400000","29327","13.99","366870","10.789308195923498","68","Indie","Quadfix Games","Quadfix Games","2625620"
"First Cut: Samurai Duel","1705467600000","46699","8.99","366211","4.945140092145561","88","Indie","Night Eyes Interactive","Night Eyes Interactive","2193490"
"Godsworn","1711598400000","14834","29.99","365999","7.333360562268755","93","Indie","Thunderoak Interactive","Thunderoak Interactive","1328990"
"Dungeons of Hinterberg","1721260800000","15320","29.99","365533","10.238644949560896","94","AA","Curve Games","Microbird Games","1983260"
"Seablip","1715918400000","28789","14.99","361489","6.631394402038207","0","Indie","Vibedy","Jardar Solli","1471270"
"Tomorrow's Love Puzzle","1706158800000","40360","9.99","357315","4.02736735920015","72","Indie","柚元(上海)文化传媒有限公司,优酷视频","柚元(上海)文化传媒有限公司","2726890"
"Grim Clicker","1706590800000","274957","0","355113.9777668873","122.75703853781792","80","Indie","EvilCharm Games,Aleksandr Golovkin","EvilCharm Games","1160750"
"Republic of Pirates","1718769600000","16799","24.99","353044","10.567625186740495","78","Indie","PQube","Crazy Goat Games","2103470"
"NUKITASHI 2","1707973200000","22206","24.99","348104","16.60275279441949","0","Indie","Shiravune","Qruppo","2614070"
"Internet Cafe & Supermarket Simulator 2024","1715832000000","27902","14.99","347352","15.353030320444185","87","Indie","SmartPlayGames","SmartPlayGames","2738380"
"Intravenous 2","1723680000000","21187","19.99","346213","8.817770568327841","96","Indie","HypeTrain Digital","Explosive Squat Games","2608270"
"Realms Of Bondage","1712808000000","26401","14.99","346056","5.603960071763862","97","Indie","Pink Tea","Pink Tea","2353700"
"Endzone 2","1724630400000","16983","24.99","343752","5.897411388827951","77","Indie","Assemble Entertainment","Gentlymad Studios","2144640"
"The Magical Mixture Mill","1711512000000","25696","19.99","343656","14.541935899621803","85","Indie","HOOK","Glowlight","1883800"
"Beyond Good & Evil - 20th Anniversary Edition","1719201600000","23369","19.99","343615","6.166170872664671","79","AAA","Ubisoft","Ubisoft","2556990"
"Concord™","1724371200000","9512","39.99","342346","5.463667928003807","71","AAA","PlayStation Publishing LLC","Firewalk Studios","2443720"
"X-Angels","1718942400000","36871","10.99","341716","3.835195609566381","93","Indie","Mango Party,Barance Studio,Mango Party News","Barance Studio","2090810"
"Lovey-Dovey Lockdown","1710302400000","40648","9.99","341695","1.7328866681044426","0","Indie","Mango Party,LewdLoco,Mango Party News","樹懶叫工作室,Sloth Gamer,Maker製造機","2329630"
"Swarm Grinder","1713758400000","61398","7.99","341153","5.644090790477779","82","Indie","Last Bite Games,Gamersky Games","Last Bite Games","1375900"
"No Plan B","1712116800000","28877","14.99","340655","13.046670351591878","91","Indie","GFX47","GFX47","1269020"
"Felvidek","1711684800000","34405","10.99","340299","3.3707920864324303","99","Indie","Tutto Passa","Jozef Pavelka,Vlado Ganaj","2299900"
"Necrosmith 2","1711512000000","56045","7.99","339556","10.07948469122065","0","Indie","Alawar","Alawar","2277320"
"Master Bladesmith","1719720000000","14297","29.99","339360","10.739834315403728","75","Indie","Elixir Games","Elixir Games","1194830"
"Furnish Master","1708318800000","26791","14.99","335843","3.571453533283467","78","Indie","Alex Blintsov","Alex Blintsov","2004080"
"Crown Wars: The Black Prince","1716436800000","9548","39.99","334624","18.441622190968985","58","AA","Nacon","Artefacts Studio","1658920"
"1000xRESIST","1715227200000","19741","19.99","334157","6.69160734978218","97","Indie","Fellow Traveller","sunset visitor 斜陽過客","1675830"
"GRAVEN","1705986000000","17974","24.99","333332","6.531416022391941","62","Indie","3D Realms,Fulqrum Publishing","Slipgate Ironworks™","1371690"
"Odd Realm","1723766400000","36336","19.99","332069","19.791110214266443","90","Indie","Unknown Origin Games Inc","Unknown Origin Games Inc","688060"
"9 Days","1709874000000","24560","14.99","331338","10.927570712807812","62","Indie","MVR","MVR","2075720"
"Little-Known Galaxy","1716177600000","19170","19.99","331297","23.280822269440254","95","Indie","Carbon & Kay","Carbon & Kay","2521600"
"Ultros","1707800400000","18046","24.99","329960","9.485683927774181","84","Indie","Kepler Interactive","Hadoque","2386310"
"Goblin Stone","1710216000000","16012","24.99","329360","23.564467837801327","55","Indie","Orc Chop Games","Orc Chop Games","1521970"
"The Rogue Prince of Persia","1716782400000","20166","19.99","328937","4.042430898585165","85","AAA","Ubisoft","Evil Empire","2717880"
"Headquarters: World War II","1712808000000","10073","39.99","328150","17.039335573177947","78","AA","Slitherine Ltd.","Starni Games","1840800"
"Immortal Family","1720656000000","37184","13.99","327846","20.283770415253127","56","Indie","方块游戏(CubeGame)","一起来修仙工作室","2013240"
"Sinister Night 2","1712116800000","37602","9.99","327297","60.028041198367944","82","Indie","Bug Inventors","Bug Inventors","2761670"
"Alex Jones: NWO Wars","1704258000000","20806","17.76","323316","1.3669062849562545","94","Indie","NWO Wars Team","NWO Wars Team","2487350"
