"name","releaseDate","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId"
"2番線 | Nibansen","1705554000000","6602","4.99","27542","1.2029222325691964","81","Indie","MFC STUDIO","MFC STUDIO","2699510"
"DEATHWATCHERS","1720742400000","2826","11.99","27529","6.492901941159936","91","Indie","SWAIN GAMES","SWAIN GAMES","2599370"
"Flying High","1715313600000","2377","14.99","27484","0.8681633293180607","65","Indie","Affect3D","Affect3D","2909410"
"Ufouria: The Saga 2","1709096400000","1279","24.99","27474","3.297133300428793","94","Indie","SUNSOFT","SUNSOFT","2685090"
"Necroking","1725408000000","6773","4.99","27369","3.0815895559559663","85","Indie","Alawar","KORO.GAMES","2852980"
"Captain Firehawk and the Laser Love Situation","1707454800000","3431","9.99","27368","1.8602411007512134","76","Indie","Portland Caviar","Portland Caviar","2054690"
"Right and Down and Dice","1705986000000","2950","11.99","27336","8.24860646412999","87","Indie","mc2games","mc2games","2228010"
"On Dark Terms","1707195600000","2200","7.99","27226","6.475462698359167","69","Indie","Dimensionless Games","Dimensionless Games","2159530"
"Gym Manager","1722384000000","3748","9.99","27202","4.666010702410133","73","AA","PlayWay S.A.","Han GAMES","2337460"
"Saving Mrs. Hinako","1710129600000","2478","14.99","27180","3.805478102347424","86","Indie","Shiravune","Studio Pork","2626240"
"Sister's Curriculum","1713412800000","1929","16.99","27085","5.77800014739662","97","Indie","WAZAZAK","WAZAZAK","2865590"
"The Witch's Cauldron","1706072400000","10808","7.99","27071","3.7517024297797663","92","Indie","Harvey games","Harvey games","2251010"
"ODDADA","1723680000000","3310","9.99","27005","2.9408445555530567","97","Indie","Sven Ahlgrimm","Sven Ahlgrimm,Mathilde Hoffmann,Bastian Clausdorff","1627870"
"所谓侠客 So-called Hero","1707886800000","1774","18.99","26984","11.002328810495042","84","Indie","NewSmile Games","NewSmile Games","1116080"
"Dojo Masters","1721174400000","2357","14.99","26897","4.809430831728505","95","Indie","Pixeled Vision","Pixeled Vision","2538000"
"Speed Crew","1706677200000","1695","19.99","26802","3.066085176262451","100","Indie","Wild Fields","Wild Fields","2367480"
"Voyager-19","1716091200000","8793","3.99","26619","0.6285501794880277","90","Indie","Deep Root Interactive","Deep Root Interactive","2925510"
"Speedway Challenge 2024","1711944000000","18737","0","26579","17.326728582072302","71","Indie","Artur Berkowski Berobasket","Artur Berkowski Berobasket","2750960"
"Baisu","1717041600000","2991","9.99","26577","1.3899661468439524","87","Indie","Tripleducks studio","Tripleducks studio","2821850"
"DunHero","1707714000000","4457","7.99","26516","7.653905015173358","90","Indie","Dev Kacper","Dev Kacper","2270210"
"Empires Shall Fall","1708318800000","2586","12.99","26457","5.06349975482512","92","Indie","Weird Penguin Games,Electronic Sheep Games","Weird Penguin Games","1477170"
"Night Bus","1712548800000","6008","4.99","26436","0.8439386307135183","89","Indie","Liquid Static Studio","Liquid Static Studio","2820800"
"Descending The Woods","1720742400000","1876","18.99","26435","4.11667969946909","54","Indie","AIONWARE LTD","AIONWARE LTD","2868070"
"One-inch Tactics","1716091200000","1790","19.99","26321","5.338793062420716","96","Indie","KOMODO","KOGADO STUDIO","2743970"
"ZOMBIE RAID: No One Survives","1720742400000","1912","14.99","26312","7.861631492084579","56","Indie","Red Dot Studio","Red Dot Studio","688540"
"Drake's Dungeon","1705294800000","827","34.99","26043","5.879234362977851","92","Indie","hotchaWorks","hotchaWorks","2313670"
"Taskmaster VR","1718769600000","1253","24.99","26027","1.2380134733088026","51","Indie","Draw & Code","Scallywag Arcade","2698450"
"永恒幻境 Eternal Dreamland","1706677200000","4968","6.99","26013","6.974941044986054","46","Indie","Eternal","Eternal","2722270"
"Footgun: Underground","1714449600000","2349","14.99","25998","4.073246333939646","91","Indie","CobraTekku Games","Turtle Knight Games","2206240"
"Populous™: The Beginning","1709787600000","13253","4.99","25991","7.9558109051673815","90","AAA","Electronic Arts","Bullfrog Productions","2616430"
"Dungeons and Robots","1705986000000","6096","8.99","25961","3.345569342795724","44","Indie","Glow Games Studio","Glow Games Studio","386650"
"東方幻想魔録W ～ The Devil of Decline","1711598400000","971","29.99","25957","33.79966654377854","95","Indie","mebius.","ハチクマソフト","2250790"
"Astor: Blade of the Monolith","1717041600000","1257","24.99","25886","6.763298604016614","76","Indie","Versus Evil,tinyBuild","C2 Game Studio","1989320"
"Elf Discipline Ceremony","1708664400000","3364","10.99","25798","1.317406278655748","69","Indie","072 Project","Flag shadow","2696060"
"Lord of Rigel","1724544000000","1683","19.99","25727","15.755765649770373","64","Indie","Rhombus Studios","Rhombus Studios","437440"
"Coin Factory","1718942400000","5722","4.99","25657","5.457562492504714","84","Indie","Lino Rabolini","Lino Rabolini","2992500"
