"name","releaseDate","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId"
"Echoes of the Plum Grove","1714363200000","54189","19.99","902318","24.66004828889055","0","Indie","indie.io","Unwound Games","1536090"
"Boxes: Lost Fragments","1706763600000","68169","14.99","900796","4.149034995582672","91","Indie","Snapbreak","Big Loop Studios","2019810"
"VAIL VR","1707973200000","89548","29.99","887656","3.708556191014475","78","Indie","AEXLAB","AEXLAB","801550"
"Gym Simulator 24","1721347200000","109135","10.99","884330","4.271517013003123","90","Indie","Red Axe Games","Quatech","2559270"
"Reus 2","1716868800000","42986","24.99","879212","12.33557918373739","97","Indie","Firesquid","Abbey Games","1875060"
"Wizardry: Proving Grounds of the Mad Overlord","1716436800000","29055","34.99","875986","32.178361089119306","85","Indie","Digital Eclipse","Digital Eclipse","2518960"
"Instruments of Destruction","1715313600000","55717","19.99","874462","8.518788291074912","94","Indie","Radiangames","Radiangames","1428100"
"Shogun Showdown","1725494400000","103097","14.99","871956","14.709804691305951","97","Indie","Goblinz Publishing,Gamera Games","Roboatino","2084000"
"PILGRIM","1717128000000","131573","7.99","867610","3.3304745672878693","88","Indie","DESPERATE MEASURES","DESPERATE MEASURES","2965660"
"Squirrel with a Gun","1724889600000","53495","19.99","866137","3.5893794482410684","83","Indie","Maximum Entertainment","Dee Dee Creations LLC","2067050"
"News Tower","1707800400000","50123","19.99","864588","13.767491551302214","97","Indie","Twin Sails Interactive","Sparrow Night","1649950"
"Aeons Echo","1724284800000","59501","0","853013","6.800604003855153","83","Indie","Nutaku Publishing","Aeons Studio","2832330"
"Cryptmaster","1715227200000","40489","24.99","845758","5.6746313405080935","96","Indie","Akupara Games","Paul Hart,Lee Williams,Akupara Games","1885110"
"Cat Quest III","1723075200000","50873","19.99","836331","5.897890979303593","0","Indie","Kepler Interactive","The Gentlebros","2305840"
"MEMORIAPOLIS","1724889600000","43572","24.99","832922","3.556692338780094","83","Indie","5PM Studio","5PM Studio","2228280"
"Fallen Aces","1718337600000","81873","12.99","831336","3.6519043643616755","98","AA","New Blood Interactive","Trey Powell,Jason Bond","1411910"
"Megaloot","1724976000000","101120","9.99","829084","7.072853564425466","85","Indie","Ravenage Games,INSTINCT3","axilirate","2440380"
"The Operator","1721606400000","70976","13.99","827721","3.0300815303759006","93","Indie","Bureau 81,indienova","Bureau 81","1771980"
"Perfect World M","1708578000000","3768","0","825766","46.92903887910011","33","Indie","PERFECT WORLD GAMES","PERFECT WORLD GAMES","2715240"
"Knock on the Coffin Lid","1723075200000","49983","24.99","824669","36.13476474169297","85","Indie","RedBoon","RedBoon","1232580"
"STAR WARS™: Dark Forces Remaster","1709125217000","30598","29.99","824203","4.770394285401785","90","Indie","Nightdive Studios","Nightdive Studios,LucasArts","2292260"
"Castlevania Dominus Collection","1724716800000","36203","24.99","814241","8.317685816929346","96","AA","KONAMI","KONAMI","2369900"
"No Case Should Remain Unsolved","1705467600000","152090","6.99","814072","2.006452454717227","98","Indie","Somi","Somi","2676840"
"Spell Disk","1709269200000","65281","14.99","812211","11.116959666409018","88","Indie","Sunpeak Games","Sunpeak Games","2292060"
"Dungeons & Degenerate Gamblers","1723075200000","65164","14.99","806583","8.091559584377128","75","Indie","Yogscast Games","Purple Moss Collectors","2400510"
"Outcast - A New Beginning","1710475200000","19374","59.99","806366","14.96428173825503","84","AA","THQ Nordic","Appeal Studios","1013140"
"Ships At Sea","1716436800000","36845","24.99","797925","15.207802711512619","0","Indie","Misc Games","Misc Games","1266540"
"The Last Flame","1705467600000","53815","17.99","793506","22.64068765605981","0","Indie","Hotloop,Surefire.Games","Hotloop","1830970"
"Yarimono","1724976000000","39179","24.99","793022","6.409328024387582","87","Indie","072 Project","にゅう工房","2696050"
"JIANGHU CHRONICLES","1722384000000","59040","16.99","790516","23.442699513632128","74","Indie","方块游戏(CubeGame)","一品阁","1909840"
"Terminus: Zombie Survivors","1724025600000","60505","19.99","787448","18.643321811538684","97","Indie","Longplay Studios","Longplay Studios","1534980"
"MEGATON MUSASHI W: WIRED","1713931200000","20281","49.99","787339","24.487806291768475","85","Indie","LEVEL5 Inc.","LEVEL5 Inc.","2450450"
"WE ARE FOOTBALL 2024","1709528400000","25210","39.99","779187","51.034166549407374","82","Indie","HandyGames,THQ Nordic","Winning Streak Games","1951410"
"Fling to the Finish","1705554000000","102601","19.99","778760","11.810501362514172","85","AA","Daedalic Entertainment","SplitSide Games","1054430"
"Fate/stay night REMASTERED","1722988800000","31040","29.99","764069","12.432516197496774","95","Indie","Aniplex Inc.","TYPE-MOON,fuzz Inc.","2396980"
"Cyber Manhunt 2: New World - The Hacking Simulator","1715227200000","91066","9.99","763279","5.428407888662228","92","Indie","Spiral Up Games","Aluba Studio","2421410"
"Age of Water","1714017600000","28566","29.99","752577","40.17846919733193","61","AA","Gaijin Network Ltd","Three Whales Studio","2695490"
"Metal Slug: Awakening","1721347200000","141042","0","751373","12.47894042688811","60","Indie","HAOPLAY Limited","Tencent","2963870"
"Welcome to ParadiZe","1709182800000","31996","29.99","744243","11.468510700522959","65","AA","Nacon","Eko Software","1519090"
"Prince of Persia The Lost Crown","1723075200000","32997","39.99","743441","12.309219921885283","78","AAA","Ubisoft","Ubisoft Montpellier","2751000"
"Level Zero: Extraction","1723507200000","45552","19.99","742914","16.09604183194644","66","AA","tinyBuild","Doghowl Games","1456940"
"Oblivion Override","1706072400000","61267","17.99","725958","13.942909524853192","92","Indie","Paleo","Humble Mill","1952370"
"Tales & Tactics","1723680000000","53902","17.99","724772","19.324987990798324","82","Indie","Yogscast Games,Gamersky Games","Table 9 Studio","1652250"
"Spiritfall","1709096400000","45670","19.99","723249","13.377384058933654","93","Indie","Gentle Giant","Gentle Giant","1835240"
