"name","releaseDate","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId"
"Sheryl ~The Alchemist of the Island Ruins~","1713499200000","13210","17.99","179743","5.946683096741738","85","Indie","Kagura Games","Pakkuri Paradise","2787300"
"OPPAI Succubus Academy Sucky and Busty, Demonic and Lusty!","1722384000000","4993","39.99","179703","4.523793592123041","92","Indie","Frontwing USA","Milkfactory","2854170"
"Computer Repair Shop","1705035600000","22799","9.99","179631","4.467348573895426","0","Indie","Cheesecake Dev","Cheesecake Dev","2479290"
"KeepUp Survival","1709614800000","23894","8.99","179352","8.238716732494117","68","Indie","Witte Studio","Witte Studio","1524630"
"Folie Fatale","1717041600000","38408","5.99","178996","3.636514388975916","90","Indie","346lab Localization","Kanmidoko (神海処)","2734450"
"Baten Kaitos I & II HD Remaster","1718596800000","4662","49.99","178950","13.164837272057365","84","AAA","Bandai Namco Entertainment","logicalbeat Co., Ltd.","2146170"
"Farlands","1721779200000","14440","14.99","177736","4.881503287831916","95","Indie","JanduSoft","JanduSoft,Eric Rodríguez","2252680"
"B.E.S.T","1705554000000","18098","11.99","176781","3.8147019706556926","75","Indie","Dolydev","Dolyla","2404390"
"Kukoro: Stream chat games","1706850000000","61373","5.99","175228","17.006639023780735","98","Indie","HeyNau","HeyNau","1166990"
"Backrooms Rec.","1709701200000","20159","9.99","175194","1.9294587589570893","72","Indie","Liminal Logic","Liminal Logic","2275020"
"Old Market Simulator","1716264000000","25461","9.99","174298","8.685694388370663","93","Indie","Alcedo Games,Gamersky Games","Alcedo Games","2878420"
"Fleshlight Squad - Fleshlightize -","1705035600000","14773","14.99","174069","2.14888170402484","83","Indie","072 Project","ちゃおいずむ","2588590"
"Fork Road","1718078400000","48467","3.99","173665","0.7547324928427664","0","Indie","Simon Au Yeung","Simon Au Yeung","2976400"
"Tiny Terry's Turbo Trip","1717041600000","12896","17.99","173502","3.941035344922252","97","Indie","Super Rare Originals","snekflat","2238040"
"Phantom Fury","1713844800000","8386","24.99","173471","6.7598251364660324","61","Indie","3D Realms","Slipgate Ironworks™","1733240"
"Broken Roads","1712721600000","6136","34.99","173273","6.840685757062152","51","Indie","Versus Evil,tinyBuild","Drop Bear Bytes","1403440"
"RUNGORE","1715832000000","16112","14.99","172919","9.171866180343908","88","Indie","GrabTheGames,Gamera Games,UpgradePoint","YOUR_MOM'S_HP,RavenJm","2113040"
"REVEIL","1709701200000","10936","19.99","172222","5.162763610356412","92","AA","Daedalic Entertainment","Pixelsplit","809060"
"KitHack Model Club","1722470400000","11862","19.99","171463","16.004801494161363","89","Indie","Floating Origin Interactive,Curve Games","Floating Origin Interactive","2107090"
"A Tower Full of Cats","1716177600000","41463","4.99","171352","2.658659161885786","99","Indie","Devcats","Devcats","2179170"
"Drug Lord Tycoon","1722384000000","16898","11.99","171160","7.688269897496598","88","Indie","Duhndal","Duhndal","2450700"
"Into the Necrovale","1706245200000","15345","14.99","170271","10.197507446551171","93","Indie","Tribal-Storm","Casey Clyde","1717090"
"Tomba! Special Edition","1722384000000","9464","19.99","170266","5.361269289978908","86","Indie","Limited Run Games","Limited Run Games","2851150"
"FAIRY TAIL: DUNGEONS","1724630400000","16430","13.99","169800","7.7027946379318815","93","Indie","Kodansha","ginolabo","2305500"
"Field of Glory: Kingdoms","1717473600000","4836","39.99","169077","29.630237681613337","82","AA","Slitherine Ltd.","AGEOD","1985050"
"Arco","1723680000000","10274","19.99","168841","5.098042446489322","99","Indie","Panic","Franek,Max Cahill,Bibiki,Fáyer","2366970"
"Last Hope","1713412800000","10810","19.99","167966","7.281782067780635","94","Indie","Poolside games,DreamBig Games","Poolside games","2650630"
"Smack Studio","1722384000000","13959","14.99","166819","61.89405689882235","90","Indie","ThirdPixel Interactive","ThirdPixel Interactive","1739300"
"The Grey Dream","1704776400000","15783","12.99","165452","4.8452165790759505","82","Indie","The Greys","The Greys","2497930"
"Quilts and Cats of Calico","1709614800000","10536","19.99","165375","12.606091816124621","96","Indie","Monster Couch,Flatout Games","Monster Couch","1993180"
"Hypnotic Idol","1718683200000","10261","19.99","163926","3.916737738327048","79","Indie","azucat","azucat","2797310"
"Night Raider","1706245200000","44974","5.99","163793","28.066198713115263","86","Indie","Tsukuyomi","Tsukuyomi","2719290"
"This is a Ghost","1713326400000","12790","14.99","163789","24.23037807231731","90","Indie","Nuci","Nuci","1985420"
"Crypt Custodian","1724716800000","10680","19.99","163307","6.014406764508275","98","Indie","Kyle Thompson,Top Hat Studios, Inc.,H2 Interactive Co., Ltd.","Kyle Thompson","2394650"
"Himegashima Island","1722556800000","14305","14.99","163296","6.4025414038367305","75","Indie","Kagura Games","Fushidaratei","2991400"
"Starstruck Vagabond","1716523200000","8747","24.99","162429","16.54874636758956","0","Indie","Ben 'Yahtzee' Croshaw,Second Wind","Ben 'Yahtzee' Croshaw","2448930"
"Clank!","1721779200000","7748","22.99","160313","11.996352257405444","95","Indie","Dire Wolf","Dire Wolf","1722870"
"Heading Out","1715054400000","9835","19.99","159911","4.301057192445973","81","Indie","Saber Interactive","Serious Sim","1640630"
"The Game of Sisyphus","1712808000000","28586","6.99","158283","5.66407476855285","81","Indie","cream","cream","2904890"
"Warhammer 40,000: Speed Freeks","1722902400000","102865","0","158090","5.651413836213646","0","Indie","PLAION","Caged Element Inc.","2078450"
"除邪(CHUXIE)","1722124800000","25734","6.99","157941","1.6539491559621793","83","Indie","LCGaming","LCGaming","2969160"
"Moose Miners","1715313600000","20363","9.99","157701","30.35383039123571","69","Indie","Lingon Studios","Lingon Studios","2591410"
"The Inquisitor","1707368400000","4482","39.99","157178","5.87829712643099","70","AA","Kalypso Media","The Dust S.A.","1880470"
"SNK VS. CAPCOM SVC CHAOS","1721433600000","8714","19.99","156773","4.365388443927607","0","Indie","SNK CORPORATION","Code Mystics","2442380"
"Vivat Slovakia","1713412800000","6256","29.99","155061","4.087998735806734","73","Indie","Team Vivat","Team Vivat","2132690"
"Spy Alliance","1723075200000","93601","1.99","153860","0.9404285900243137","70","Indie","ALT Lab","ALT Lab","2757350"
"Arena Renovation","1705640400000","13814","19.99","153619","6.01014217466712","82","AA","PlayWay S.A.,FreeMind S.A.","Nesalis Games","948880"
"Summer's Gone - Season 1","1715313600000","11819","14.99","153346","12.394389248708073","96","Indie","OceanAVN","OceanAVN","2240150"
"Turlock Holmes","1708491600000","27531","9.99","152748","6.043817491612786","75","Indie","Neverland Entertainment","Find the Lamp Games","2142160"
"Galaxy Idle Clicker","1721260800000","14401","0","151939.1911440809","99.91404042132115","76","Indie","Soehnle","Soehnle","2962810"
