"name","releaseDate","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId"
"The Cooking Game VR","1723161600000","3127","19.99","35330","1.6773863133265157","72","Indie","Play Spirit Limited","Play Spirit Limited","857180"
"Top Racer Collection","1709701200000","2184","19.99","35298","4.23830756740612","83","Indie","QUByte Interactive,Piko Interactive,bleem.net","QUByte Interactive","2214000"
"CORPUS EDAX","1725494400000","2228","19.99","35271","2.058410046420825","79","Indie","Luis G. Bento","Luis G. Bento","2017610"
"Ballance","1704430800000","9412","5.99","35198","1.613739933077078","78","Indie","Ziggurat","Cyparade","2000770"
"Galactic Glitch","1721001600000","3974","12.99","35181","4.501046549918738","94","Indie","Crunchy Leaf Games","Crunchy Leaf Games","1536620"
"The Assistant Season 2","1724889600000","4501","9.99","35119","2.9446784871609926","87","Indie","Backhole","Backhole","2994260"
"GOBLIN SLAYER -ANOTHER ADVENTURER- NIGHTMARE FEAST","1709096400000","700","54.99","34638","8.28881600993995","48","Indie","Bushiroad Inc.","APOLLOSOFT Inc.,mebius.","2456410"
"Unspoken","1711944000000","13185","2.99","34570","1.221261653746725","91","Indie","Weeping Studio","Weeping studio","2846290"
"Trap Yuri Garden","1717992000000","3168","14.99","34538","4.174798019139268","93","Indie","Eroge Japan,Sanuk Inc.","No Strike","2183910"
"Llamasoft: The Jeff Minter Story","1710302400000","1437","29.99","34480","2.6086928041531428","93","Indie","Digital Eclipse","Digital Eclipse","2236680"
"Busty Milf and Summer Country Sex Life","1714017600000","1920","22.99","34423","2.5442447265943544","94","Indie","Dieselmine","MikanBatake","2795310"
"Retrowave World","1715313600000","4976","9.99","34177","6.393304313510181","83","Indie","RewindApp","RewindApp","2413050"
"War Tortoise","1711512000000","3157","12.99","34147","35.57522367183048","82","Indie","Foursaken Media","Foursaken Media","2120250"
"The Night is Grey","1704430800000","2599","15.99","34137","6.327124309995986","83","Indie","Whalestork Interactive","Whalestork Interactive","1281490"
"エスカレーター |  Escalator","1704517200000","13759","2.99","34019","0.9703383112593621","38","Indie","Toyasky","Toyasky","2738050"
"Thalassa: Edge of the Abyss","1722470400000","1885","19.99","33913","5.175897436224591","92","Indie","Team17 Digital Ltd","Sarepta Studio","1783680"
"Forest Ranger Simulator","1718769600000","2968","14.99","33771","6.762252434257949","48","Indie","FreeMind S.A.","HOT CODE COMPANY,FreeMind S.A.,VIRTUAL MAGIC","1185780"
"Fallen Leaf","1721001600000","2354","16.99","33220","6.47813663302046","90","Indie","Delta Shore Games","Delta Shore Games","1459010"
"Été","1721692800000","1903","24.99","33085","6.732972715477706","99","Indie","Impossible","Impossible","1065070"
"Monster Girl Conquest Records Battle Orc","1715227200000","3604","10.99","33040","2.6832910240482435","93","Indie","Shady Corner Games","mozu field","2680840"
"Teenage Mutant Ninja Turtles Arcade: Wrath of the Mutants","1713844800000","1443","29.99","32967","2.551853235737157","62","Indie","GameMill Entertainment","Cradle Games","2527580"
"Dungeon Exiles","1722988800000","3916","9.99","32913","8.265966155033187","77","Indie","Gronkins","Gronkins","2850100"
"An English Haunting","1716350400000","2877","13.99","32895","4.98717775106139","96","Indie","Postmodern Adventures,enComplot","Postmodern Adventures","2474030"
"Trackline Express","1713412800000","2838","14.99","32789","5.505014640252864","85","Indie","Bubblebird Studio","Bubblebird Studio","2343920"
"Rum & Gun","1724630400000","8875","4.99","32753","12.051587904666636","94","Indie","Borington","Borington","1210800"
"Plushie from the Sky","1714968000000","3684","11.99","32723","2.4452972237095225","96","Indie","fishwind","fishwind","1679510"
"飄流幻境M","1719288000000","13101","0","32631","42.33954376230544","74","Indie","Chinesegamer","Chinesegamer","1481340"
"Horny Suika: Wet Watermelon","1722556800000","7860","4.99","32631","3.632772524791276","91","Indie","Tora Creatives","Tora Creatives","2739980"
"Nine Tereasures of Liuyin","1722470400000","2160","18.99","32506","2.98226257938161","0","Indie","kingnagame","kingnagame","2949580"
"Sore wa Maichiru Sakura no You ni -Re:BIRTH-","1717732800000","1132","39.99","32480","10.10257010148131","89","Indie","HIKARI FIELD","Navel","2754170"
"TryAndLove","1706158800000","5564","6.99","32472","3.313299785383789","51","Indie","MYSTERY CROWN","MYSTERY CROWN","2715590"
"Wulin Chess","1706763600000","5968","11.99","32365","30.11762561523791","76","Indie","East2west Games","LameCat Studio","1525410"
"My love with the GirlsGroup","1713326400000","2255","25.5","32198","2.680101537283766","72","Indie","Bing World","Bing World","2852710"
"Benefitship","1720742400000","12641","2.99","32166","1.7604861868198556","96","Indie","RFH Games","RFH Games","2404000"
"Lust & Legends","1715227200000","3127","12.99","32128","2.322082956917242","79","Indie","Entropy Digital Entertainment","Entropy Digital Entertainment","2899030"
"Demon Slayer -Kimetsu no Yaiba- Sweep the Board!","1721088000000","593","59.99","32016","3.4537952979865176","97","AA","SEGA","CyberConnect2","2424110"
"Abathor","1721865600000","2593","14.99","31842","5.0401017121337786","91","Indie","JanduSoft","Pow Pixel Games","2295610"
"Yet Another Fantasy Title (YAFT)","1712721600000","2557","19.99","31754","2.8679573315310183","61","Indie","Atomic Wolf,Games Operators","Atomic Wolf","1993450"
