"name","releaseDate","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId"
"Creator of Another World","1714449600000","10817","18.99","151439","28.08123885865699","89","Indie","kuetaro (くえたろう)","kuetaro (くえたろう)","2761610"
"Miss Neko: Pirates","1711080000000","47322","3.99","151366","3.115070265712853","82","Indie","Toffee Cafe","Orangeee","2695270"
"Winter Survival","1709701200000","8694","18.99","151064","8.359128282051328","0","Indie","DRAGO entertainment,HeartBeat Games","DRAGO entertainment","1394960"
"Maid of the Dead","1709182800000","9076","19.99","149494","7.925857937636709","84","Indie","qureate","qureate,IXILL LLC.","1868020"
"Project Demigod","1706763600000","9426","19.99","148767","7.7345205113754085","82","Indie","Fast Travel Games","Omnifarious Studios LLC","1646580"
"勾八狂想曲","1721088000000","36043","4.99","147185","3.1321856073593546","93","Indie","勾八游戏","勾八游戏","2996200"
"Aeruta","1715745600000","11532","14.99","146384","3.823862384264399","86","Indie","GRAVITY GAME ARISE Co., Ltd.","FromDawn Games","2286780"
"MWNeus","1723420800000","17079","10.99","146188","1.5783624783835415","85","Indie","CLLGames","CLLGames","2701210"
"Sex, Please","1716523200000","38909","5.99","145765","1.5732950377279882","74","Indie","Evil Boobs Cult","Evil Boobs Cult","2608620"
"Shop Legends","1706936400000","4881","0","145540","96.4889328536079","51","Indie","Cloudcade","Cloudcade","982300"
"Laughing to Die","1712721600000","48759","4.99","145336","1.664247236383009","0","AA","Gamera Games","大吉利制作组","2182400"
"CD 2: Trap Master","1711598400000","12111","14.99","144122","14.886709065862858","84","Indie","ACE ENTERTAINMENT,Erabit","ACE ENTERTAINMENT","2330870"
"Center Station Simulator","1712289600000","9795","18.35","144011","37.60065180814037","90","Indie","Nightmare Phoenix","Nightmare Phoenix","2823890"
"With Eyes Closed - Season 1","1723766400000","13201","12.99","143830","2.62212839425719","80","Indie","Ker","Ker","2492780"
"Once a Porn a Time 2","1718424000000","11016","14.99","143625","5.743886096291238","79","Indie","OPT Studio","OPT Studio","2735510"
"Hellbreach: Vegas","1723593600000","16668","14.99","143445","3.6441777939194218","78","Indie","Iceberg Interactive","Infinity Ape Studios","1691320"
"I Am Part-time Worker!!","1719374400000","27661","5.99","143115","1.1508789912695352","77","Indie","KomeFukuro","KomeFukuro","2985930"
"BORE BLASTERS","1709874000000","19335","9.99","142092","7.815683895628099","84","Indie","8BitSkull","8BitSkull","2398170"
