"name","releaseDate","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId"
"Chill Town","1711080000000","4474","14.99","53847","8.455069857008738","72","Indie","Low-Hi Tech","Low-Hi Tech","1940200"
"Werewolf: The Apocalypse — The Book of Hungry Names","1714017600000","3708","19.99","53836","20.215550109267713","89","Indie","Choice of Games","Choice of Games","2402280"
"美女,应接不暇","1715659200000","8294","9.99","53711","4.90755358007216","89","Indie","筠悦游戏","筠悦游戏","2753730"
"Heroes of Eternal Quest","1705986000000","5554","11.99","53606","5.211472233432033","79","Indie","Surefire.Games","Drakkar Game Studio","2234200"
"Coin Pusher Casino","1709182800000","5712","12.45","53577","20.553733584586258","90","Indie","TreeNutsGames","TreeNutsGames","2178590"
"Lunar's Chosen - Episode 1","1710993600000","6065","11.99","53520","17.04048723468547","89","Indie","PTGames","PTGames","1695680"
"Love Chase","1716177600000","11298","5.99","53201","5.78766925311464","88","Indie","Topgame","Topgame","2812850"
"Ocean Keeper: Dome Survival","1721260800000","8573","7.99","53194","3.3624747089534006","87","Indie","RetroStyle Games","RetroStyle Games","2845630"
"Innocent Grape","1718942400000","9419","6.99","53093","1.263656828427289","86","Indie","TopHouse Publishing","TopHouse Studio,Abel Games","2924050"
"The Land Beneath Us","1715572800000","4863","14.99","53038","7.2264683908061444","83","Indie","Dear Villagers,Gamera Games","FairPlay Studios Co. Ltd","2131010"
"KUNKUN Defender","1714622400000","24898","2.99","52877","2.503987080889346","98","Indie","Seal","Seal","2902540"
"Sex Magic 🔮","1708750800000","8640","9.99","52803","1.5494840840141335","74","Indie","Lust Desires 🖤","Lust Desires 🖤","2800520"
"My Horse: Bonded Spirits","1718769600000","3457","19.99","52635","3.1240758472671737","57","Indie","Games Incubator,PlayWay S.A.","Games Incubator","2376970"
"Suzukuri Dungeon: Karin in the Mountain","1724112000000","2908","24.99","52578","7.88879147866267","80","Indie","Shiravune","Karin Project","1552140"
"BAKERU","1725321600000","1611","39.99","52181","3.104794863653244","97","AA","Spike Chunsoft Co., Ltd.","Good-Feel Co., Ltd.","2969380"
"Cricket Captain 2024","1717646400000","1932","29.99","52146","34.64194315756216","71","Indie","Childish Things Ltd","Childish Things Ltd","2900670"
"The Last Alchemist","1720742400000","3193","19.99","51994","5.495677661356906","82","Indie","Marvelous Europe","Vile Monarch","1536570"
"Single By Choice","1719115200000","7910","7.99","51747","2.2513127333238527","93","Indie","LewdLoco,AIROTS","AIROTS,非魚創意","2812180"
"Demonsomnia","1723507200000","4813","13.99","51562","1.2559833898863375","32","Indie","Woziva","Woziva","2506820"
"Sophia the Traveler","1712808000000","7069","8.99","51514","2.18323889731405","90","Indie","Thermite Games","Memo Gogo","1602540"
"Thought Experiment Simulator","1721606400000","12613","4.99","51396","1.4312099535342595","86","AA","Gamera Games","HoHo Game Studio","2696320"
"Hotel Business Simulator","1717473600000","5597","12.99","51368","8.127616664306808","50","Indie","Midnight Games","Geekon","2738870"
"We Are Lost","1708405200000","8863","9.99","51305","2.226043906490635","72","Indie","MaDDoG","MaDDoG","2431690"
"Fate and Life: The Mystery of Vaulinhorn","1712289600000","5595","11.99","51279","4.576615510778872","80","Indie","Celestial Novel","Celestial Novel","2549200"
"California Swingers Club - Season 1: Sea Swap","1710302400000","7135","9.99","51169","1.2747399147093406","59","Indie","Swingers Club","Swingers Club","2804310"
"Pixel Art Academy: Learn Mode","1722816000000","5114","12","51096","3.4372901467593326","97","Indie","Retronator","Matej 'Retro' Jan","2330360"
"My Shameless StepMom","1716004800000","9167","9.99","51051","1.510390495129179","71","Indie","Lust Desires 🖤","Lust Desires 🖤","2889290"
"Between Horizons","1711339200000","4113","15.99","50813","4.525920436429165","92","Indie","Assemble Entertainment","DigiTales Interactive","1921980"
