"name","releaseDate","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId"
"TASOKARE HOTEL Re:newal","1705899600000","1283","39.99","39446","6.31815504654062","92","Indie","SEEC Inc.","SEEC Inc.","2622260"
"MACROSS -Shooting Insight-","1711512000000","1100","39.99","39428","2.5255326652276247","48","Indie","Bushiroad Inc.","KAMINARI GAMES Inc.","2103230"
"Britannia","1712203200000","3036","24.99","39342","24.25514936178075","74","Indie","PID Games,Avalon Digital","Avalon Digital","1268420"
"Lysfanga: The Time Shift Warrior","1707800400000","2741","19.99","39323","8.184091418936433","78","Indie","Spotlight by Quantic Dream","Sand Door Studio","2161620"
"Snapshot VR","1712289600000","2907","19.99","39215","25.527867024835096","87","Indie","Giant Scam Industries","Giant Scam Industries","1133580"
"Shanghai Summer","1707282000000","3771","12.99","39145","2.7283112400338663","0","Indie","Astrolabe Games","FUTU Studio","1323830"
"Boyhood's End","1725494400000","4394","10.99","39110","1.7971319180139647","86","Indie","WSS playground,Alliance Arts","WSS playground,buriki clock","2403290"
"Sex Detective [18+]","1705726800000","6159","9.99","39057","2.62368680328011","74","Indie","BanzaiProject","BanzaiProject","2732510"
"飛天歷險2024(Dream Of Mirror Online)","1718683200000","5027","0","38814","53.80585097088608","86","Indie","Hong Kong GameStar Limited","SOFTSTAR ENTERTAINMENT","2899890"
"Chromosome Evil 2","1707973200000","2504","19.99","38734","15.35812128894409","91","Indie","S.C. 16 BIT NIGHTS S.R.L.","S.C. 16 BIT NIGHTS S.R.L.,dovganovskiy","2529770"
"A fascinating story","1718337600000","5323","9.99","38560","2.7519391260068375","75","Indie","Lovely Games","L&P","2756390"
"STRIDE: Fates","1715832000000","1456","29.99","38478","2.2171262747285883","44","Indie","Joy Way","Joy Way","2597880"
"Brainwashing with Tentacles R","1716609600000","4016","11.99","38429","1.6485084560717143","73","Indie","Dieselmine","kagurado","2862430"
"False Dream","1705381200000","22446","1.99","38327","2.8520489149129244","97","Indie","TenkaiGames","TenkaiGames","2753720"
"Chocolate Factory","1718683200000","2560","19.99","38045","5.231778431189281","58","Indie","Tbjbu2","Tbjbu2","2854710"
"Touhou ~Red Empress Devil.","1709787600000","5933","7.99","37988","1.1907577469879576","79","Indie","STUDIO POCO","STUDIO POCO","1734070"
"Orgasm Academy 💦","1712980800000","5975","9.99","37850","2.698963040803605","83","Indie","Lust Desires 🖤","Lust Desires 🖤","2820600"
"Timemelters","1709096400000","2700","19.99","37803","5.238353917176057","94","Indie","Autoexec Games","Autoexec Games","1096140"
"Escape Memoirs: Safe House","1721347200000","4474","9.99","37696","3.9809089476220465","97","Indie","0 Deer Soft Partnership","0 Deer Soft","2722360"
"Inn Tycoon","1724630400000","5278","9.9","37621","4.334262378938257","87","Indie","Evil Goose Games,Gamersky Games","Evil Goose Games","2749000"
"Legend of the Master Baiter","1718942400000","5111","9.99","37590","4.788857462263077","78","Indie","Kagura Games","BigWednesday","2864830"
"Silent Depth 2: Pacific","1721088000000","3423","12.99","37567","3.543798908664691","58","Indie","MicroProse Software","MicroProse Software","2591010"
"Pampas & Selene: The Maze of Demons","1716264000000","5126","9.99","37487","7.261998140753362","93","Indie","Unepic Games","@unepic_fran","1966220"
"Union of Gnomes","1721260800000","3038","14.99","37472","4.858536097701764","93","Indie","HeroCraft PC","Hoolignomes","2097030"
"DATE A LIVE: Ren Dystopia","1725494400000","1223","39.99","37412","3.649681378405073","96","Indie","Idea Factory International","Idea Factory,Compile Heart,Sting","2627780"
"风岬-The Everlasting lovestory at the Windcap","1707800400000","7858","5.99","37405","3.8382243486449794","0","Indie","百歌CentChansons","百歌CentChansons","2414750"
"My Little Pony: A Zephyr Heights Mystery","1715918400000","1064","39.99","37380","5.7849791759110305","88","Indie","Outright Games Ltd.","Drakhar Studios","2235440"
"World Turtles","1713153600000","2761","19.99","37235","2.8684712372014327","78","Indie","indie.io","Re: cOg Mission","1512050"
"Darkness Revenge","1707368400000","4505","9.99","37160","3.036385164083652","81","Indie","Hematite","Hematite","2112680"
"Linkito","1721692800000","2923","14.99","37043","4.508091899937316","88","Indie","Playdigious Originals,Kimeria Games","Kalinarm","2312770"
"Aground Zero","1705554000000","2046","19.99","36809","13.945204139951857","92","Indie","Fancy Fish Games","Fancy Fish Games","1795570"
"Towerful Defense: A Rogue TD","1722211200000","4968","9.99","36774","4.435117143496472","78","Indie","Mini Fun Games","Mini Fun Games","2453610"
"SEX Airlines 🔞✈️","1720828800000","5700","9.99","36654","1.330472437003454","72","Indie","Play & Cum 💦","Play & Cum 💦","3014600"
"Virtua Unlimited Project","1713931200000","4091","10.99","36626","7.486923043711081","0","Indie","Neverland Entertainment","Virtua Ride System","1934030"
"重生了还要我谈恋爱？","1721865600000","6109","7.99","36601","3.1956110734957632","95","Indie","画域互动","画域互动","2804510"
"14 Minesweeper Variants 2","1718337600000","6567","6.99","36460","30.827359464449394","98","Indie","Artless Games","Alith Games,Artless Games","2631960"
"Die by the Blade","1715832000000","2085","19.99","36435","4.79305152673187","61","Indie","Grindstone","Grindstone,Triple Hill Interactive,Toko Midori Games","1154670"
"Real Dive World","1715313600000","2501","19.99","36294","2.67005413560503","82","Indie","OTAKU Plan","TANUKIHOUSE","2337090"
"Climber Animals: Together","1711080000000","12770","3.99","36224","2.713706604500689","93","Indie","Weakfish Studio Publishing","Payoff Games","2744880"
"Sid Meier's Alpha Centauri™ Planetary Pack","1709787600000","18231","4.99","36165","15.234579989068527","95","AAA","Electronic Arts","Firaxis Games","2204130"
"Archean","1715832000000","2138","19.99","36163","35.56501054328521","92","Indie","batcholi,FloDKSM","batcholi,FloDKSM","2941660"
"洪荒：我挂机成圣","1705208400000","6629","6.99","36125","271.6146279284957","50","Indie","老乌贼工作室","老乌贼工作室","2123310"
"Knights Within","1715745600000","2479","17.99","36030","7.057114379278621","97","Indie","Indecision Labs","Indecision Labs","2406180"
"Master of Chess","1718164800000","3176","14.99","36029","9.34233207450903","86","Indie","BRANE","BRANE","2248900"
"Umbraclaw","1717041600000","1971","24.99","36009","4.507811287732485","93","Indie","INTI CREATES CO., LTD.","INTI CREATES CO., LTD.","2428420"
"C.A.R.D.S. RPG: The Misty Battlefield","1716350400000","1133","39.99","35903","10.33745263202776","46","Indie","ACQUIRE Corp.","ACQUIRE Corp.","2539880"
"Rogue Fable IV","1706245200000","3991","11.99","35878","26.671178769018166","92","Indie","Pixel Forge Games","Pixel Forge Games","2720010"
"3 Minutes to Midnight - A Comedy Graphic Adventure","1724284800000","1742","24.99","35867","7.501924637371908","92","Indie","Scarecrow Studio","Scarecrow Studio","832500"
"Innocence Or Money | Season 2 | Episode 1","1723248000000","9947","3.99","35719","1.892374217964523","75","Indie","MarcialART","MarcialART","3064420"
"QANGA","1725235200000","2197","19.99","35571","3.25806345564814","85","Indie","iolaCorp Studio","iolaCorp Studio","1648190"
