"name","releaseDate","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId"
"Spectre Divide","1725321600000","584912","0","515874","3.7906067463564392","53","Indie","Mountaintop Studios","Mountaintop Studios","2641470"
"RIPOUT","1716868800000","25078","24.99","510816","9.22208996429652","78","Indie","3D Realms","Pet Project Games","1558830"
"Song Of The Prairie","1722384000000","34212","19.99","508466","26.525119770115516","86","Indie","AOE Plus","The Droplet Studio","1350840"
"SpellRogue","1707714000000","38313","15.99","504572","22.424010541240484","0","Indie","Ghost Ship Publishing","Guidelight Games","1990110"
"Train Capacity 300%","1719374400000","10037","59.99","499436","3.783498398295651","76","Indie","072 Project","ベルゼブブ","2441570"
"The Settlers: New Allies","1711425600000","24828","59.99","498522","29.116687826484263","52","AAA","Ubisoft","Ubisoft Düsseldorf","2750080"
"[Chilla's Art] Shinkansen 0 | 新幹線 0号","1711080000000","78706","6.99","492076","1.803159642267536","85","Indie","Chilla's Art","Chilla's Art","2793370"
"ROBOBEAT","1715659200000","31582","19.99","491385","6.909824832526566","97","Indie","Kwalee","Simon Fredholm","1456760"
"Denizen","1714363200000","28820","19.99","489411","7.776756483905562","78","Indie","Departure Interactive","Departure Interactive","2010030"
"I Wani Hug that Gator!","1707886800000","38369","14.99","481057","14.51670755792052","99","Indie","Cavemanon","Cavemanon","1895350"
"Corpse Keeper","1716868800000","33315","19.99","480134","11.798358652481376","79","Indie","Thermite Games","Melancholia Studio","1601740"
"SILENT BREATH","1712289600000","55920","9.99","478886","1.253684919186634","70","Indie","EXODIAC STUDIOS","EXODIAC STUDIOS","2796180"
"Romantic Escapades","1722556800000","27493","19.99","478599","4.777122589943246","89","Indie","Salamander Interactive","Salamander Interactive","2897760"
"9-Bit Armies: A Bit Too Far","1724630400000","31112","19.99","477043","11.292738471310066","89","Indie","Petroglyph","Petroglyph","1439750"
"An alt girl for skoof","1713672000000","142590","4.99","476684","2.0744072440511374","0","Indie","Terletski Games","Terletski Games,RIKANIMATION","2901520"
"Remnant Records","1705986000000","40789","15.99","476002","6.2497744004070865","86","Indie","Noctiluca Studio","Noctiluca Studio","1916310"
"Lust Academy - Season 3","1716782400000","35401","14.99","473076","8.985764778175827","89","Indie","Bear in the Night","Bear in the Night","2655960"
"Loop Queen-Escape Dungeon 3","1704690000000","28946","19.99","469651","5.51790199892241","84","Indie","Hide Games,PlayMeow","Hide Games","1950450"
"Anonymous Hacker Simulator","1712116800000","30891","19.99","469375","7.376180049745447","86","Indie","G-DEVS.com,CreativeForge Games","Sicarius","2487060"
"KINGDOM HEARTS HD 2.8 Final Chapter Prologue","1718251200000","12254","59.99","467421","11.294433700423134","80","AA","Square Enix","Square Enix","2552440"
"Contractors Showdown","1714017600000","27141","19.99","466608","18.181048012538636","80","Indie","Caveman Studio","Caveman Studio","2719160"
"SaGa Emerald Beyond ","1714017600000","10425","49.99","464418","56.864651920884434","75","AA","Square Enix","Square Enix","2085000"
"Dream Engines: Nomad Cities","1715227200000","23463","29.99","458980","24.130133961839114","75","Indie","Suncrash,Gamera Games","Suncrash","1076750"
"SAMURAI WARRIORS 4 DX","1715572800000","10192","49.99","458548","14.780196821244653","88","AA","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","2719200"
"SUMMERHOUSE","1709874000000","124989","4.99","457163","2.3290476903397357","95","Indie","Future Friends Games","Friedemann","2533960"
"Self Defense Dojo","1712808000000","49053","10.99","454488","9.62940872357666","87","Indie","WAKUWAKU","WAKUWAKU","2534120"
"Rising Lords","1705554000000","31478","19.99","450937","11.480690698372614","73","Indie","Deck13,WhisperGames","Argonwood","835650"
"Ogu and the Secret Forest","1722211200000","29556","24.99","447349","12.38599020840312","96","Indie","Sinkhole Studio","Moonlab Studio,Sinkhole Studio","1985960"
"失业了，我获得了亿万游戏财产！","1723075200000","41154","12.99","442047","5.434507313639457","0","Indie","Bolingogames","Bolingogames","2875140"
"Guardians of Eden-Embrace of the Forest","1709787600000","47876","10.99","440759","3.4102798584792144","93","Indie","Mango Party,Mango Party News","Black Cat Entertainment","2672430"
"STAR WARS™: Bounty Hunter™","1722384000000","25198","19.99","440677","4.710997589917462","90","Indie","Aspyr","Aspyr","2419090"
"Trans-Siberian Railway Simulator","1717041600000","26748","19.99","439367","7.473760984153682","92","AA","PlayWay S.A.","Pentacle","998400"
"Inkulinati","1708578000000","32914","24.99","438381","10.260957164525532","89","AA","Daedalic Entertainment","Yaza Games","957960"
"Meta-Ghost: The Breaking Show","1713931200000","29511","17.99","438131","27.94245613578306","74","Indie","Flawless Gaming,Erabit","Scarecrow Studio","2507980"
"迷宮校舎 | School Labyrinth","1708491600000","72520","6.99","433805","6.621443293132326","83","Indie","RainyDollGames","RainyDollGames","2423300"
"Flintlock: The Siege of Dawn","1721174400000","13360","39.99","428492","8.54822977632938","78","Indie","Kepler Interactive","A44 Games","1832040"
"Touhou Hero of Ice Fairy","1712116800000","113539","6.99","426279","7.463627015339362","98","Indie","GAMEPULSE 游戏脉冲","GAMEPULSE 游戏脉冲","1955830"
"River Town Factory","1707195600000","49851","14.99","422423","22.97850275057128","91","Indie","iFAction Studio,BD Games","iFAction Studio","2281410"
"Enishia and the Binding Brand","1715313600000","36535","14.99","420150","8.334240655135321","89","Indie","Kagura Games","Shimobashira Workshop","2582650"
"The Witch of Fern Island","1709010000000","24841","24.99","419597","42.176978067986596","80","Indie","indie.io","Enjoy Studio S.A.","1550010"
"Aquarist","1711684800000","49828","15.99","418284","5.791556271643747","85","AA","PlayWay S.A.,FreeMind S.A.","FreeMind S.A.","1430760"
"TRIBES 3: Rivals","1710216000000","25090","19.99","409596","23.34107405843711","73","Indie","Prophecy Games","Prophecy Games","2687970"
"Children of the Sun","1712635200000","29898","14.99","405492","2.7145806764945544","94","AA","Devolver Digital","René Rother","1309950"
"Mahjong Soul","1721692800000","50514","0","404777","13.097029411695926","92","Indie","YOSTAR HONG KONG LIMITED","Catfood Studio","2739990"
"Bulwark Evolution: Falconeer Chronicles","1711425600000","25933","19.99","404450","11.639992881791207","81","Indie","Wired Productions","Tomas Sala","290100"
"Contra: Operation Galuga","1710216000000","12497","39.99","398126","8.399051408132877","87","AA","KONAMI","WayForward","2235020"
"IN HEAT: Lustful Nights","1718942400000","32781","14.99","397065","6.52036594813416","92","Indie","Critical Bliss","MonsterBox","1962890"
"Harold Halibut","1713240000000","14341","34.99","394548","6.805622153637477","82","Indie","Slow Bros.","Slow Bros.","924750"
"All Quiet in the Trenches","1705467600000","16987","24.99","389794","5.104839946954534","91","Indie","Totally Not Aliens","Totally Not Aliens","863500"
"Sex of Thrones 👑","1716609600000","41711","14.99","388950","2.4595185609427723","77","Indie","Taboo Tales 💘","Taboo Tales 💘","2480200"
