"name","releaseDate","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId"
"April 24th","1713844800000","13978","4.99","58819","0.7359780707779322","85","Indie","EMIKA_GAMES","NOBODY","2907190"
"LipTrip ~My Boss Is My Heat Suppressant?!~","1713067200000","6572","10.99","58776","2.229134939512905","83","Indie","HUBLOTS,LoveStoryProject","SukeraSomero","2793290"
"Drive Me Crazy","1720742400000","5626","12.99","58736","6.719917339222743","74","Indie","Tenth Art Studio","wwqk Studio","2918550"
"Star Trek Legends","1725235200000","3937","19.99","58487","34.51471767361909","69","Indie","Tilting Point","Emerald City Games","2765460"
"Pricolage -IDOLIZED-","1708318800000","9030","7.99","58380","1.129631019169127","74","Indie","Annulus","HIJIKI","2510890"
"Beauties! They're All After Me","1718942400000","9004","8.99","58249","11.781097157141605","91","Indie","Beauties! They're All After Me","Beauties! They're All After Me","2873760"
"PegIdle","1718769600000","14308","4.99","58248","43.43774505157989","79","Indie","EagleEye Games","EagleEye Games","2821890"
"Bulletstorm VR","1705554000000","1677","39.99","58243","1.5560455601858747","42","Indie","People Can Fly","Incuvo","2451320"
"DIRECT CONTACT","1709182800000","3373","19.99","58027","6.3026994607693485","32","Indie","Mountain 81","Mountain 81","2084450"
"Leap Year","1718251200000","12917","4.99","58010","1.801851040328595","99","Indie","Daniel Linssen,Sokpop Collective","Daniel Linssen","2951770"
"Alice in the Nightmare Land","1717732800000","5522","12.99","57974","3.1800400261124997","87","Indie","OTAKU Plan","Tsukki's Tea Party","2583430"
"Dungeon Keeper Gold™","1709787600000","30374","4.99","57919","9.718970792205097","95","AAA","Electronic Arts","Bullfrog Productions","1996630"
"Yolk Heroes: A Long Tamago","1716177600000","8825","7.99","57880","39.328561198480905","96","Indie","14 Hours Productions,Astrolabe Games","14 Hours Productions","2417850"
"女神保卫战","1716523200000","7096","9.99","57683","5.124420630852716","75","Indie","我的同居女神竟是小姨子","我的同居女神竟是小姨子","2933180"
"子归 - Blossom","1721260800000","9933","7.99","57614","4.020366092234975","0","Indie","糯米团子工作室","糯米团子工作室","2579280"
"Leaving DNA","1709787600000","6061","11.99","57464","5.139572696455877","87","Indie","The Impious Monk","The Impious Monk","2415240"
"Morimens","1722470400000","15770","0","57436.540278163455","13.384947274205794","63","Indie","B.I.A.V. Studio","B.I.A.V. Studio","3052450"
"Haunted House","1704862800000","11008","8.99","57387","4.04629417359116","85","Indie","Genuine Studio","Genuine Studio","2376540"
"Crawling Lab","1718510400000","13940","4.99","57371","7.859513090811096","83","Indie","eTIRUe","eTIRUe","2637070"
"KAMITSUBAKI CITY ENSEMBLE","1724803200000","17421","3.99","57163","3.6186185374141586","62","Indie","KAMITSUBAKI STUDIO,Studio Lalala","KAMITSUBAKI STUDIO,Studio Lalala","2581050"
"Commando Collection","1721952000000","13988","4.99","57114","2.195678782003565","99","Indie","Macrojoy","Macrojoy","3059010"
"Story Of Eve 2","1714017600000","6937","9.99","57000","2.4413623771808886","82","Indie","Mango Party,Mango Party News","SmallSqurriel","1959520"
"Incubus Quest","1705035600000","4931","14.99","56928","3.984279687862555","79","Indie","Kagura Games","SweetRaspberry","2429890"
"Mashiroiro Symphony HD -Sana Edition-","1714536000000","3374","29.99","56826","15.587132012446789","88","Indie","Shiravune","Palette","2737980"
"Magical Mic Duel: Senpai, Hear My Spell","1716436800000","12868","6.99","56611","0.6995787387464362","92","Indie","ReLU Games","ReLU Games","2696400"
"EXIT KUN","1707022800000","31148","2.99","56542","1.6875465233684876","85","Indie","AIKUN","IKUN&KUN,AIKUN","2781370"
"Space industrial empire","1716523200000","12991","5.99","56264","185.92527358473797","83","Indie","游戏养家工作室","游戏养家工作室","2423620"
"Flock","1721088000000","3422","19.99","56222","5.0648597179177","95","AA","Annapurna Interactive","Hollow Ponds,Richard Hogg","1472930"
"USC: Counterforce","1721260800000","4557","19.99","56116","12.624011194681225","76","Indie","Firesquid","Angry Cat Studios,Creatio 49","1574870"
"Rack and Slay","1716782400000","11532","5.99","56109","9.014412644766326","94","Indie","2 Left Thumbs","Ludokultur","2311990"
"Gordian Rooms 2: A curious island","1705640400000","2891","24.99","56094","14.573450988254377","74","Indie","Crimsonite Games","Crimsonite Games","1528220"
"Honeymoon : Mystery Journey","1712203200000","6849","9.99","56018","1.613685089483286","86","Indie","Mango Party,Mango Party News","Gentleman.LTD","2483970"
"Hauntii","1716436800000","3825","19.99","55934","5.999272463046797","90","Indie","Firestoke","Moonloop Games","2060790"
"Arranger: A Role-Puzzling Adventure","1721865600000","3400","19.99","55837","3.9637049385834837","95","Indie","Furniture & Mattress LLC","Furniture & Mattress LLC","2596420"
"Secrets of the Heartbeat","1717732800000","13018","9.99","55727","2.6283030530483527","89","Indie","RainbowGame","RainbowGame","2774190"
"Kingdom, Dungeon, and Hero","1719792000000","2158","29.99","55543","13.419890616501407","84","Indie","Kraken Studios","Kraken Studios","2572400"
"ReRoad","1719374400000","4185","14.99","55440","5.11095355691673","78","Indie","Rabbithole Games","Rabbithole Games","1304130"
"Petit Game Collection vol.1","1705640400000","11241","7.99","55429","2.975158869813168","0","Indie","WSS playground","WSS playground","2757490"
"Nie No Hakoniwa - Dollhouse of Offerings","1707973200000","2185","29.99","55324","9.778930254944072","78","Indie","Sekai Project","Chatte Noire","2527450"
"Mimic Logic","1708578000000","15387","3.99","55254","9.843984440009253","99","Indie","Nihohe Soft","Nihohe Soft","2455920"
"Body Pay","1713499200000","8417","7.99","55093","1.4329818666749834","77","Indie","Cheese Burger Studio","Cheese Burger Studio","2909170"
"COLLEGE SEX FEST 2024","1714622400000","6723","12.99","54904","1.967925174231157","62","Indie","Inturo Games Inc.","Inturo Games Inc.","2842860"
"Human Farm - Practice Section","1709874000000","10095","6.99","54805","2.104899164154087","86","Indie","072 Project","とっくり海月","2516590"
"YUME 4","1705035600000","18572","4.99","54457","1.2250755579041477","78","Indie","Lovely Games","","2602730"
"PERFECT CELLS PROJECT","1722384000000","6494","9.99","54356","1.9577939646614881","81","Indie","Playmeow","ShinshiMoustache","2688650"
"Sex Euphoria 💖","1706936400000","8232","9.99","54348","1.6484623283506317","74","Indie","Romantic Room","Romantic Room","2740180"
"Feed the Deep","1723766400000","9909","6.99","54316","3.405209908163857","94","Indie","Luke Muscat","Luke Muscat","2332260"
"Lifecraft","1713240000000","2832","22.99","54293","9.238948160822265","83","Indie","Pixbits","Pixbits","1839930"
"Valiant Hearts: Coming Home","1716523200000","4242","14.99","54185","1.9642139752926429","66","AAA","Ubisoft","Ubisoft Da Nang,Ubisoft Montpellier","2741360"
"RKGK / Rakugaki","1716350400000","3298","19.99","54015","3.516789972301656","77","Indie","Wabisabi Games","Wabisabi Games","2146570"
