"name","releaseDate","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId"
"ExoCross","1721606400000","8226","39.99","217345","5.42370667094399","70","Indie","iRacing.com Motorsport Simulations,iRacing","iRacing.com Motorsport Simulations,iRacing","773840"
"Angel at Dusk","1705035600000","20643","14.99","217085","10.783586495954678","99","Indie","Henteko Doujin,Sanuk Inc.","Akiragoya","1405500"
"Sex Formula","1725494400000","6030","39.99","217025","1.3852123208746496","77","Indie","MIGI STUDIO","MIGI STUDIO","2889660"
"CaseCracker2","1715832000000","21864","11.99","216851","5.844877721759396","95","Indie","NPC Entertainment","BlackRobe","2294450"
"Coreborn","1718769600000","14796","13.99","216265","30.494220097898072","67","Indie","Blankhans","Blankhans","1926090"
"HEART of CROWN Online","1713844800000","13112","19.99","215401","10.997180274952367","81","Indie","Japanime Digital","illuCalab,FLIPFLOPs","1883000"
"Stargate: Timekeepers","1705986000000","7991","29.99","214688","5.441417976196167","58","AA","Slitherine Ltd.","Slitherine Ltd.","1523650"
"Vae Victis - Khan","1709269200000","16129","14.99","214566","10.445054827650639","83","Indie","Doorknob22","Doorknob22","2540230"
"Sucker for Love: Date to Die For","1713844800000","19772","12.99","213201","3.8826264044692698","0","Indie","DreadXP","Akabaka","2240790"
"Tchia","1710993600000","11684","29.99","212197","7.9077829522467304","0","Indie","Kepler Interactive","Awaceb","1496590"
"Love n Life: Lucky Teacher","1706677200000","38777","8.99","210967","4.0441084681223565","0","Indie","Reborn Entertainment","Reborn Entertainment","2445340"
"Tour de France 2024","1717646400000","5833","39.99","208625","20.921704466723124","72","AA","Nacon","Cyanide Studio","2494340"
"Nancy Drew®: Mystery of the Seven Keys™","1718856000000","7242","32","208569","7.070747407547764","60","Indie","HeR Interactive","HeR Interactive","1926590"
"Project MIKHAIL: A Muv-Luv War Story","1714104000000","15338","19.99","208558","21.581829688696637","55","Indie","aNCHOR Inc.","aNCHOR Inc.,fuzz, Inc.","1557480"
"The DeLuca Family - Season 1","1709010000000","16425","15.99","207588","12.18923439084038","83","Indie","MemoGaming","MemoGaming","2814610"
"Mini Airways","1722297600000","24705","9.99","207390","6.443859027040861","0","Indie","Erabit","CCC Games","2289650"
"JudgeSim","1721088000000","33281","6.99","206875","3.020822486072547","0","Indie","DelusionArt Studio","DelusionArt Studio","2919660"
"江湖客栈-The Jianghu","1725062400000","51896","0","205131","260.3405090672399","61","Indie","Path","『風林火山』工作室","1881610"
"The Bathhouse | 地獄銭湯 Restored Edition","1723161600000","28170","7.99","202570","2.4106187515297246","92","Indie","Chilla's Art","Chilla's Art","2989950"
"Shipwrecked 64","1704085200000","26225","7.99","202048","7.407742826442237","96","Indie","Cogware Games","Squeaks D'Corgeh,Cogware Games","2160220"
"Shadow of the Depth","1713758400000","16453","14.99","201940","8.217366605525815","72","Indie","ChillyRoom","ChillyRoom","2100150"
"Subterrain: Mines of Titan","1710216000000","12552","19.99","200632","15.648462349326858","0","Indie","indie.io","Pixellore Inc","1573100"
"Chill Pulse","1714622400000","51928","4.99","199035","31.101972445582895","95","Indie","Catos Game","Catos Game","2826180"
"CONVRGENCE","1713758400000","12366","19.99","198731","5.466555952304595","81","Indie","Monkey-With-a-Bomb","Monkey-With-a-Bomb","2609610"
"A Day Out","1719460800000","20883","9.99","198689","5.069955151525373","80","Indie","KevTheDev","KevTheDev,gamesbychris","1547670"
