"name","releaseDate","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId"
"Unreal Lust Theory","1711684800000","22266","7.99","108802","1.6062343921411546","74","Indie","Inceton games","Inceton games","2573100"
"Escape from the Room of the Serving Doll","1718683200000","18575","6.99","108603","1.2631172015065026","87","Indie","Playmeow","桃山プロダクション","2442390"
"NTR'd By Clumsiness","1715745600000","20401","6.99","108551","2.2641617236393574","80","Indie","Hangover Cat Purrroduction","Hangover Cat Purrroduction","2277300"
"Rogue Voltage","1715313600000","8150","15.99","108249","8.035693626041311","93","Indie","Horizont Computergrafik,IndieArk","Horizont Computergrafik","1494560"
"The Braves","1714708800000","35671","0","107932","37.56037743623871","65","Indie","101XP","101XP GAME STUDIOS","2479830"
"The Political Machine 2024","1714622400000","5997","19.99","107442","9.375262746564825","71","Indie","Stardock Entertainment","Stardock Entertainment","2512090"
"Lootun","1715659200000","23003","5.49","107153","64.13552450605829","94","Indie","ArrowSoftGames","ArrowSoftGames","1960270"
"Stellar Initiative","1716782400000","12661","9.99","106342","7.096431675244657","72","Indie","Five Head Games","Five Head Games","2529080"
"Baladins","1715745600000","5066","24.99","106200","3.3563584876458874","84","Indie","Armor Games Studios","Seed by Seed","1866320"
"Of Life and Land","1712030400000","5200","24.99","106071","8.470716159988035","93","Indie","Kerzoven,Metaroot","Kerzoven","1733110"
"Aero GPX","1722902400000","6739","19.99","105983","4.249184101788392","99","Indie","Aaron McDevitt","Aaron McDevitt","2160360"
"Trinity Survivors","1714622400000","13772","9.99","105834","6.141025061148281","78","Indie","Flyway Games, Inc.","Flyway Games, Inc.","2686580"
"Old School Rally","1721260800000","12741","9.99","105556","3.3328854130189614","93","Indie","Astrolabe Games","Frozen Lake Games","2824660"
"Factory Outlet Simulator","1721001600000","12466","10.99","105087","12.264593888983066","87","Indie","PISHO","PISHO","2981590"
"Sandwalkers","1718769600000","6527","19.99","104827","8.163045434052988","75","Indie","Goblinz Publishing,H2 Interactive Co., Ltd.","Goblinz Studio","1639080"
"Craftomation 101: Programming & Craft","1708318800000","13458","9.99","104104","12.247192066961416","88","Indie","Luden.io","Luden.io","1724140"
"Deadrock Redemption","1712203200000","8414","14.99","103914","1.9315781914925254","67","Indie","Entropy Digital Entertainment","Entropy Digital Entertainment","2753270"
"Dungeon Travelers: To Heart 2 in Another World","1707886800000","7032","19.99","103875","26.408988556469694","89","Indie","DMM GAMES,Shiravune","AQUAPLUS","1901620"
"Dustland Delivery","1720656000000","16038","7.99","103498","16.13021138305583","93","Indie","Farlight Games","Neutron Star Studio","2943280"
"Saki and the Crucible of Debauchery","1721865600000","13943","8.99","103268","2.3790812982022453","96","Indie","Mango Party,Mango Party News","ofuroworks","2652500"
"The Tribe Must Survive","1716436800000","6191","24.99","103232","9.08482471233303","72","Indie","Starbreeze Entertainment","Walking Tree Games GmbH","1729940"
"PMC Promiscuity","1716004800000","6029","19.99","103206","4.655877506903089","91","Indie","Overseer Division","Shuuko,Amber Fiend","2738670"
"Mashiroiro Symphony HD -Love is Pure White-","1714536000000","4565","39.99","103113","16.50014475843828","85","Indie","Shiravune","Palette","2737970"
"Princess Maker 2 Regeneration","1720569600000","3127","39.99","103057","5.284493425227376","62","Indie","Bliss Brain","Bliss Brain,Monkey Craft","2311530"
"Kakuriyo Village ~Moratorium of Adolescence~","1710993600000","5302","24.99","102837","3.703153793078795","85","Indie","BokiBoki Games","I'm moralist","2326590"
"Beneath the Mountain","1709614800000","5490","24.99","102217","10.583038890836619","67","Indie","Gameclaw Studio","Omnis Rector Studios","1728840"
"Serum","1716436800000","5714","24.99","101998","4.520200688637722","59","Indie","Toplitz Productions","Game Island","1610520"
"Personal Study","1713153600000","14975","7.99","101925","1.8344642000474296","90","Indie","ArcaneSpoon","ArcaneSpoon","2878000"
"Deathless. Tales of Old Rus","1718683200000","5280","24.99","101371","12.004932786153773","88","Indie","1С-777 Limited","1C Game Studios","2727210"
"The Great Rebellion","1706763600000","6274","19.99","101324","3.919736996924976","99","Indie","AIP","Kvltgames","2732820"
"Backrooms Break","1713931200000","13850","8.99","101261","1.747438412475688","71","Indie","Jan Jileček","Jan Jileček","2248330"
"Turbo Kid","1712635200000","6185","19.99","101051","9.214640817798795","96","Indie","Outerminds Inc.","Outerminds Inc.","1733250"
"Don't Disturb Your STEPMOM","1718856000000","8550","13.99","100118","2.188715860354927","68","Indie","Lemonhaze Game Studio","Lemonhaze Studio","2937910"
"Fallen Young Wife~Netorare H without telling her husband~","1714708800000","10217","11.99","99794","0.9473265220608578","75","Indie","072 Project","瀧壺チャンネル","2717310"
"Love, Ghostie","1723593600000","5937","19.99","99704","3.727087878172361","97","Indie","Janbeh Games, LLC","Janbeh Games, LLC","1789490"
"Paper Trail","1716264000000","6971","19.99","99360","4.517925370173087","0","Indie","Newfangled Games","Newfangled Games","1889740"
"Underspace","1712721600000","6301","19.99","99105","16.03857155052236","83","Indie","Camlann Games","Pastaspace Interactive","1111930"
"Humans are not that against Lizardwomen","1712376000000","52018","3.99","98977","2.7354271629251796","94","Indie","Horny Capybara Studio","Hue Axis Entertainment","2715650"
"Star Command Galaxies","1724803200000","7879","14.99","98718","5.326777990161925","44","Indie","Warballoon","Warballoon","402160"
"Nightmare: The Lunatic","1711857600000","8560","16.99","98647","12.420812923843696","90","Indie","Maetdol Games","Maetdol Games","1842730"
"Bears In Space","1711080000000","6160","19.99","98573","9.076366799930872","96","Indie","Ravenscourt","Broadside Games","1309620"
"ALTF42","1717473600000","25211","7.99","98378","4.830693338953039","75","Indie","GRAVITY","PUMPKIM","2187230"
"B-17 Flying Fortress : The Mighty 8th Redux","1706158800000","7611","14.99","97527","10.442652231942674","66","Indie","MicroProse Software","MicroProse Software","2000800"
"TrinityS","1714017600000","9630","14.99","97404","7.425199078752663","75","Indie","Phoenixx Inc.","Indie-us Games","1584690"
"Slave Zero X","1708491600000","4603","24.99","97228","6.396802075195478","85","Indie","Ziggurat","Poppy Works","1903910"
"Crestfallen: Medieval Survival","1721174400000","8635","14.99","97203","9.388145547654238","69","Indie","Bloodbath Studios","Bloodbath Studios","2293680"
"My Pleasure - Season 3","1711598400000","6301","18.99","95671","6.129136649681638","79","Indie","Tasty Pics Studio","Tasty Pics Studio","2610080"
"Kingsgrave","1713326400000","13324","9.99","95478","3.649236971474798","78","Indie","Alawar","Egg or Chicken Games","2644360"
"Dishwashing Simulator","1712116800000","12031","9.99","94839","4.485264365334047","90","Indie","Frinky","Frinky,Frosty","2747780"
"I'm counting to 6...","1706245200000","17098","6.99","94804","0.8322044494652961","86","Indie","EMIKA_GAMES","EMIKA_GAMES","2717260"
