"name","releaseDate","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId"
"Superscout","1721260800000","128010","17.99","1868809","5.23063358629639","94","Indie","Mountain&Sea Studio","Mountain&Sea Studio","2862610"
"Lightyear Frontier","1710820800000","93838","24.99","1847587","8.312387984973132","0","Indie","Amplifier Studios,FRAME BREAK","FRAME BREAK,Amplifier Studios","1677110"
"Thriving City: Song","1716955200000","148108","18.99","1847579","15.121941903658618","83","Indie","IndieArk","White Star Studio","1956800"
"Living With Sister: Monochrome Fantasy","1711080000000","230496","12.99","1838206","10.709267200266146","97","Indie","Kagura Games","Inusuku","2429860"
"Dune: Imperium","1710302400000","92464","22.99","1775842","22.899198444110745","97","Indie","Dire Wolf","Dire Wolf","1689500"
"Chinese Online Game","1721260800000","208103","9.99","1772844","7.568376324435929","74","Indie","Wise Games","648工作室","1416920"
"The Thaumaturge","1709528400000","71142","34.99","1756839","11.232274598965626","0","AA","11 bit studios","Fool's Theory","1684350"
"Dungeonborne","1721260800000","1121214","0","1753880","24.476678329900462","66","Indie","Mithril Interactive","Mithril Interactive","2448970"
"Feed the Cups","1708405200000","159951","15.99","1743322","36.464209005006985","89","Indie","IndieArk","Vambear Games","2336220"
"Astral Party ","1709096400000","566827","0","1737265","17.734904098734024","51","Indie","Neverland Entertainment","STAR ENGINE PROJECT","2622000"
"LOCKDOWN Protocol","1721606400000","193552","9.99","1736582","9.475271119605496","0","Indie","Mirage Creative Lab","Mirage Creative Lab","2780980"
"BMX Streets","1712203200000","48276","39.99","1733797","21.337095692495044","78","Indie","Mash Games","Mash Games","871540"
"Cataclismo","1721606400000","76717","29.99","1717400","12.39071140707249","94","AA","Hooded Horse","Digital Sun","1422440"
"Incursion Red River","1712721600000","115857","16.99","1668116","9.613570700274808","76","Indie","Games Of Tomorrow GmbH","Games Of Tomorrow GmbH","2116120"
"The Lord of the Rings: Return to Moria™","1724716800000","92326","24.99","1661037","10.060536961497332","0","Indie","North Beach Games","Free Range Games","2933130"
"Nordic Ashes: Survivors of Ragnarok","1714104000000","353950","8.99","1644179","18.575732951370277","88","Indie","Noxfall Studios","Noxfall Studios","2068280"
"Out of the Park Baseball 25","1710475200000","45474","49.99","1640362","85.41960491706307","86","Indie","Out of the Park Developments","Out of the Park Developments","2384620"
"City Bus Manager","1719288000000","65165","29.99","1624986","40.77171704318191","91","Indie","Aerosoft GmbH","PeDePe GbR","1364210"
"Tactical Breach Wizards","1724284800000","96174","19.99","1596416","8.635183318565998","98","Indie","Suspicious Developments","Suspicious Developments Inc","1043810"
"Rusty's Retirement","1714104000000","278210","6.99","1585093","36.76470154540171","97","Indie","Mister Morris Games","Mister Morris Games","2666510"
"Into the Radius 2","1721779200000","48362","39.99","1568855","5.694623316030681","76","Indie","CM Games","CM Games","2307350"
"ContractVille","1717128000000","89691","19.99","1568853","17.97238271388152","80","Indie","FiftyEight Studios","MYM Games Studios","2698780"
"INDIKA","1714622400000","77092","24.99","1561494","2.923114750999736","90","AA","11 bit studios","Odd Meter","1373960"
"Town of Sins","1711339200000","73052","0","1560133","17.596491244347778","57","Indie","Nutaku Publishing","Hooligapps","2449710"
"SAND LAND","1714017600000","31923","59.99","1554073","17.893528957999578","91","AA","Bandai Namco Entertainment Inc.","ILCA, Inc.","1979440"
"Avatar: Frontiers of Pandora™","1718596800000","39220","69.99","1554033","20.076900060781632","64","AAA","Ubisoft","Massive Entertainment – A Ubisoft Studio","2840770"
"ENDER MAGNOLIA: Bloom in the Mist","1711339200000","92755","19.99","1547770","2.339783382795594","98","Indie","Binary Haze Interactive","Adglobe,Live Wire","2725260"
