"name","releaseDate","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId"
"LakeSide","1711339200000","6710","14.99","72013","3.0665883078991616","68","Indie","Massive Galaxy Studios","Massive Galaxy Studios","1552220"
"Sam & Max: The Devil's Playhouse","1723593600000","4373","19.99","71874","8.406782251050108","99","Indie","Skunkape Games","Skunkape Games","2648050"
"Paradise","1714104000000","4217","19.99","71794","11.744831290303976","97","Indie","JAST BLUE","Pil/Slash","2708210"
"Project Unknown","1720742400000","8767","9.99","71342","2.970398153906548","89","Indie","Nightmare Studios","PsychoRavens","2115390"
"Xiangsheng Simulator","1707022800000","50829","2.99","71247","2.025891516718508","77","Indie","Wave Ecstacy","Wave Ecstacy","2734310"
"Train Valley World","1723161600000","4824","19.99","70779","7.712589160171384","72","AA","tinyBuild","Flazm","2244470"
"Ereban: Shadow Legacy","1712721600000","3596","24.99","70723","6.029381243393642","89","Indie","Baby Robot Games","Baby Robot Games","1671360"
"Fida Puti Samurai","1710993600000","7866","11.99","70667","9.329681954688859","95","Indie","Zanardi and Liza","Zanardi and Liza","1534340"
"Strategic Command WWII: War in the Pacific","1721260800000","1963","39.99","70650","21.26686666979131","92","AA","Slitherine Ltd.","Fury Software","2740080"
"Iragon 18+","1707886800000","3729","29.99","70561","2.663141477314257","40","Indie","SZH","Repulse","1097480"
"Crab God","1718856000000","4297","19.99","70526","6.670332094268608","88","Indie","Firesquid","Chaos Theory Games","2289390"
"Multiplayer Platform Golf","1709182800000","15702","4.99","70517","3.0495567217758395","92","Indie","Robot Assembly","Robot Assembly","2263920"
"MACHI KORO With Everyone","1720051200000","3439","24.99","70380","4.566587558857733","60","Indie","Grounding Inc.","Grounding Inc.","1969860"
"Eden Island","1721952000000","9646","14.99","70247","7.442286413116884","63","Indie","Moon Studio","Moon Studio","1974220"
"Handsome Me with 100 Girlfriends!","1712808000000","8623","9.99","70215","2.3062527099058565","57","Indie","Day Day Up！","philosophy♂","2761510"
"Aooni","1721865600000","11885","9.99","70127","2.6583768987342653","72","Indie","Game Studio Inc.","Game Studio Inc.","2934190"
"Kingsvein","1705381200000","4273","19.99","70094","14.403321173774705","0","Indie","Rad Codex","Rad Codex","2276830"
"Genome Guardian","1715054400000","9474","11.99","69687","16.541265837868423","95","Indie","Alpherior","Alpherior","2891310"
"X Invader","1723420800000","18675","4.99","69616","9.398892187788533","80","Indie","ALLAF GAMES","ALLAF GAMES","2090760"
"Doom Sweeper","1717819200000","20562","4.99","69495","11.423323279224366","77","Indie","Paper Dog","Paper Dog","2162680"
