"name","releaseDate","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId"
"Pathless Woods","1712030400000","24230","19.99","318984","31.743620125737877","77","Indie","AniYa Games Studio","AniYa Games Studio","1726130"
"Bō: Path of the Teal Lotus","1721174400000","17722","19.99","318836","8.127703594245002","81","AA","Humble Games","Squid Shock Studios,Christopher Stair,Trevor Youngquist","1614440"
"Sons of Valhalla","1712289600000","19088","19.99","316497","4.631982260827467","65","AA","Hooded Horse","Pixel Chest","1409830"
"Banana","1713844800000","30739148","0","312915.8051949718","26.142053584290064","85","Indie","Sky","Sky,AestheticSpartan,O'Brian","2923300"
"Reign of Guilds","1712203200000","9654","39.99","312155","49.44438001420057","70","Indie","Atlant Games ltd","Atlant Games ltd","716350"
"Gestalt: Steam & Cinder","1721088000000","18409","19.99","311648","5.862918939678536","82","Indie","Fireshine Games","Metamorphosis Games","1231990"
"Sacred X：Heavens Wonderland","1715227200000","33358","0","311127","15.218051665922733","77","Indie","Sacred X：Heavens Wonderland","Sacred X：Heavens Wonderland","2857890"
"Songs of Silence","1717473600000","9658","39.99","310683","8.54394550155806","0","Indie","Chimera Entertainment,H2 Interactive (Korea and Japan)","Chimera Entertainment","2195410"
"CONSCRIPT","1721692800000","17794","19.99","309785","8.943197928709889","95","AA","Team17","Jordan Mochi,Catchweight Studio","1286990"
"Tavern Talk","1718856000000","20589","17.99","309239","8.77890297251394","92","Indie","Gentle Troll Entertainment","Gentle Troll Entertainment","2076140"
"Survisland / 实境求生","1713067200000","46318","14.99","309178","8.71751675590061","65","Indie","Easy Joy Ltd.","Super Trampers Studio","839630"
"Northend Tower Defense","1725408000000","64646","7.99","308936","4.689085364892894","82","Indie","Northend Games,Gamersky Games","Northend Games","1669170"
"Galacticare","1716436800000","12476","29.99","308759","13.665298012367899","91","Indie","CULT Games","Brightrock Games","494730"
"Master Detective Archives: RAIN CODE Plus","1721174400000","5701","59.99","307802","14.836618388852264","79","AA","Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.","2903950"
"Shadow Corridor 2 雨ノ四葩","1711684800000","20555","18.99","307662","33.5026854448185","87","Indie","Space Onigiri Game LLC","Space Onigiri Game LLC","2310700"
"Minds Beneath Us","1722384000000","18389","19.99","306334","8.99478181049897","0","Indie","BearBoneStudio","BearBoneStudio","1610440"
"Seven Lovers In The House","1711425600000","43904","9.99","305905","5.261912776052523","82","Indie","Concrete Interactive顽石发行","Tofu Studio","2774830"
"Braid, Anniversary Edition","1715659200000","28250","19.99","302053","5.463457597179698","95","Indie","Thekla, Inc.","Thekla, Inc.","499180"
"Isles of Sea and Sky","1716350400000","18161","19.99","301453","10.816936790814603","92","Indie","Cicada Games,Gamera Games","Cicada Games","1233070"
"Bingle Bingle","1710734400000","30163","10.99","301311","3.3555247951829443","87","Indie","Knitting Games","Knitting Games","2789810"
"Wings of Seduction: Bust 'em out!","1721347200000","29429","12.99","299544","8.826653736954144","96","Indie","Hide Games,Ramen Cat Studio","Ramen Cat Studio","2455140"
"Vigor","1715832000000","16585","19.99","298380","17.057238219828335","54","AA","Bohemia Interactive","Bohemia Interactive","2818260"
"反转21克","1706763600000","46368","8.99","294934","11.705099196192378","76","Indie","想象颗粒","想象颗粒","2685620"
"Tales of Kenzera™: ZAU","1713844800000","17529","19.99","292022","5.795633305036823","82","AAA","Electronic Arts","Surgent Studios","2316580"
"hololive Treasure Mountain","1722384000000","36003","8.99","291300","8.571670578322678","97","Indie","holo Indie","BeXide Inc.","2972990"
