"name","releaseDate","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId"
"Haruka Ao no Hanayome ni","1723161600000","1235","29.99","25078","6.6742263198238465","99","Indie","HIKARI FIELD","Lump of Sugar","2947230"
"Sherwood Extreme","1714363200000","1589","19.99","25077","3.596430164747675","78","Indie","CAGE Studios","CAGE Studios","1340180"
"ESCAPE FROM BOYKISSER","1707541200000","26650","1.99","25071","1.5818382138488383","84","Indie","akhsotoen","akhsotoen","2708280"
"Game Store Simulator","1724112000000","6470","4.99","25070","4.17682057665008","84","Indie","Pex Entertainment","Pex Entertainment","2598930"
"Sex Universe [18+]","1715400000000","4485","9.99","25061","1.3838816447480855","72","Indie","Octo Games","Octo Games","2888360"
"Destiny Online","1711771200000","3047","0","24986","128.7942781499453","82","Indie","Destiny10.com","Destiny10.com","2841010"
"Girls on Campus, from Freshmen to Faculty, All Fall for Me!","1723680000000","5650","6.99","24952","8.789299939559351","89","Indie","Girls on Campus, from Freshmen to Faculty, All Fall for Me!","Girls on Campus, from Freshmen to Faculty, All Fall for Me!","3029990"
"Strayed","1713499200000","1512","19.99","24912","21.136065774131144","77","Indie","Crustacean Interactive","Crustacean Interactive","2359470"
"UBOAT: The Silent Wolf VR","1718769600000","1499","19.99","24828","2.313831093937943","67","Indie","Titan GameZ","Titan GameZ","1455390"
"Hatsune Miku - The Planet Of Wonder And Fragments Of Wishes","1713672000000","1121","29.99","24809","2.202186541138209","66","Indie","KOMODO","Crypton Future Media","2477920"
"Dawnsbury Days","1709874000000","5954","4.99","24711","5.791491841946118","98","Indie","Dawnsbury Studios","Dawnsbury Studios","2693730"
"Isabella: Chasing Shadows","1718942400000","2663","11.99","24675","2.5932362730798473","92","Indie","Badtimetales","Badtimetales","2703180"
"CROPS!","1721174400000","3684","7.99","24620","3.474930930601481","89","Indie","Bocary Studios","Bocary Studios","3057760"
"Skelethrone: The Chronicles of Ericona","1722988800000","2106","14.99","24562","7.958073901311823","83","Indie","Valkyrie Initiative","70`Strike","2139840"
