"name","releaseDate","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId"
"WWE 2K24","1709787600000","165301","99.99","8055097","42.36514031444467","71","AAA","2K","Visual Concepts","2315690"
"EARTH DEFENSE FORCE 6","1721865600000","159806","59.99","7882151","29.65106126155342","57","Indie","D3PUBLISHER","SANDLOT","2291060"
"Sins of a Solar Empire II","1723680000000","214192","49.99","7815247","12.45259326556514","88","Indie","Stardock Entertainment","Ironclad Games Corporation,Stardock Entertainment","1575940"
"Legend of Mortal","1718337600000","440998","19.99","7756399","24.79781729089117","76","Indie","Paras Games,Obb Studio Inc.","Obb Studio Inc.","1859910"
"Shin Megami Tensei V: Vengeance","1718251200000","141306","59.99","7629252","34.25849627863547","96","AA","SEGA","ATLUS","1875830"
"Soulmask","1717041600000","304685","29.99","7540563","95.69781345051696","79","Indie","Qooland Games","CampFire Studio","2646460"
"The Universim","1705899600000","328945","29.99","7534369","16.86853054897363","81","Indie","Crytivo","Crytivo","352720"
"Bellwright","1713844800000","280955","29.99","7481940","41.418884797624166","78","Indie","Donkey Crew,Snail Games USA","Donkey Crew","1812450"
"Night of the Dead","1717128000000","394364","29.99","7091792","27.597071928479362","79","Indie","Jackto Studios","Jackto Studios","1377380"
"Empires of the Undergrowth","1717732800000","408292","29.99","6950952","38.60212424802546","95","AA","Hooded Horse,Slug Disco","Slug Disco","463530"
"KINGDOM HEARTS -HD 1.5+2.5 ReMIX-","1718251200000","212325","49.99","6828446","30.27494811660254","0","AA","Square Enix","Square Enix","2552430"
"ANIMAL WELL","1715227200000","305891","24.99","6420393","8.485381327666017","96","Indie","Bigmode","Billy Basso","813230"
"Age of Mythology: Retold","1725408000000","236419","29.99","6381185","9.389112456991116","91","AAA","Xbox Game Studios","World's Edge,Forgotten Empires,Tantalus Media,CaptureAge,Virtuos Games","1934680"
"STAR WARS™: Battlefront Classic Collection","1710302400000","185054","35.01","6048340","4.360934964168404","0","Indie","Aspyr","Aspyr","2446550"
"Another Crab's Treasure","1714017600000","264723","29.99","5719324","10.434608015373131","95","Indie","Aggro Crab","Aggro Crab","1887840"
"Homeworld 3","1715572800000","102487","59.99","5516030","8.497439609058835","42","AA","Gearbox Publishing","Blackbird Interactive","1840080"
"Winter Memories","1704430800000","424281","19.99","5478333","8.98400541606548","0","Indie","Kagura Games","Dojin Otome","2495450"
"Nine Sols","1716868800000","214407","29.99","5475592","17.894843749042394","96","Indie","RedCandleGames","RedCandleGames","1809540"
"Outpost: Infinity Siege","1711425600000","278031","24.99","5312327","35.08670209892025","68","AA","Lightning Games","Team Ranger","1566690"
"Sker Ritual","1713412800000","267953","24.99","5058868","6.477539083793293","82","Indie","Wales Interactive","Wales Interactive","1492070"
"shapez 2","1723680000000","261028","24.99","4810868","16.307715687349233","99","Indie","tobspr Games,Gamera Games","tobspr Games","2162800"
"Senua’s Saga: Hellblade II","1716264000000","107010","49.99","4747832","5.160077378916766","88","AAA","Xbox Game Studios","Ninja Theory","2461850"
"Pixel Gun 3D: PC Edition","1712030400000","1626877","0","4707782","11.897823377017541","62","Indie","Cubic Games Studio","Cubic Games Studio","2524890"
"Backpack Battles","1709874000000","499559","12.99","4663468","42.851439776271384","90","Indie","PlayWithFurcifer,IndieArk","PlayWithFurcifer","2427700"
"Crime Scene Cleaner","1723593600000","285596","19.99","4644684","8.5955248244436","98","Indie","President Studio,PlayWay S.A.","President Studio","1040200"
"Kebab Chefs! - Restaurant Simulator","1705640400000","312189","17.99","4552032","9.479225359641724","89","Indie","Biotech Gameworks","Biotech Gameworks","1001270"
"Predecessor","1724112000000","433605","0","4523839.944318563","109.91382768034087","79","Indie","Omeda Studios","Omeda Studios","961200"
"Palia","1711339200000","881082","0","4263470","47.02791482592875","78","Indie","Singularity 6 Corporation","Singularity 6 Corporation","2707930"
"Little Kitty, Big City","1715227200000","206880","24.99","4238137","4.143531272874482","95","Indie","Double Dagger Studio","Double Dagger Studio","1177980"
"Secrets of Grindea","1709182800000","314988","14.99","4161183","21.69826525906877","90","Indie","Pixel Ferrets","Pixel Ferrets","269770"
"Chrono Ark","1714622400000","301197","24.99","4113334","37.2041660638596","91","Indie","Al Fine","Al Fine","1188930"
"Nova Drift","1723420800000","445361","17.99","4047331","24.728684574294135","96","Indie","Pixeljam","Chimeric","858210"
"Kingdom Rush 5: Alliance TD","1721865600000","245264","19.99","4042356","9.09008744972337","86","Indie","Ironhide Game Studio","Ironhide Game Studio","2849080"
"Norland","1721260800000","170621","29.99","3991591","18.46350698089453","79","AA","Hooded Horse","Long Jaunt","1857090"
"Eiyuden Chronicle: Hundred Heroes","1713844800000","91925","49.99","3953243","26.18784418359856","0","AA","505 Games","Rabbit & Bear Studios","1658280"
"Le Mans Ultimate","1708405200000","120703","32.99","3740762","24.51989839725174","78","Indie","Studio 397","Studio 397","2399420"
"The Hungry Lamb: Traveling in the Late Ming Dynasty","1713758400000","588305","9.99","3689551","5.515544910785541","97","Indie","零创游戏(ZerocreationGame),2P Games","零创游戏(ZerocreationGame)","2593370"
"Fabledom","1715572800000","274354","20.99","3559827","9.741550826316857","90","Indie","Dear Villagers,Doyoyo Games","Grenaa Games","1651560"
