"name","releaseDate","copiesSold","price","revenue","avgPlaytime","reviewScore","publisherClass","publishers","developers","steamId"
"Fuck You Witch","1711684800000","8355","9.99","65063","0.9673952756904698","92","Indie","Beshbarmak games","Beshbarmak games","2736020"
"月藍傳奇REMAKE古文明之謎","1707627600000","2607","19.99","65028","40.43827237929116","96","Indie","RMAsia","天使蛋糕,攸藍,牙籤,黃金,咕咕咕,鎧特","2391680"
"CUM Queens 🔞💦","1707541200000","10518","9.99","64931","1.5889476459175789","67","Indie","BanzaiProject","BanzaiProject","2711320"
"Mothers and Daughters","1704171600000","7578","9.99","64494","4.364727003460155","67","Indie","Spin256","Spin256","2508400"
"Zero Division","1720656000000","6099","12.99","64472","7.677055210096512","88","Indie","Astrolabe Games","Robot Cat Limited","2181950"
"LAPIDARY: Jewel Craft Simulator","1711339200000","9702","7.99","64395","4.0044600989023795","82","Indie","THINK & FEEL","THINK & FEEL","2539820"
"Preserve","1723075200000","6779","12.49","64320","5.1397419833615166","95","Indie","Grindstone","Bitmap Galaxy","2109270"
"VoidBound","1716523200000","3945","19.99","64291","4.450637928804644","93","Indie","Shady Corner Games","CursedAtelier","2500710"
"Witch and Lilies","1716436800000","3338","24.99","64035","13.370290768841917","45","Indie","Stromatosoft Inc.","Stromatosoft Inc.,株式会社タストα","2525810"
"挂姬恶魔 IDLE DEVILS","1706590800000","23630","3.99","63683","76.24068923464054","80","Indie","GOCORE,NPC Entertainment","GOCORE","2226700"
"Der Königsruf","1714881600000","710","0","63264","26.27006411419708","57","Indie","Starlight Games","Starlight Games","2916840"
"TRADESMAN: Deal to Dealer","1718683200000","23503","2.99","63246","10.285109683855877","0","Indie","AZAMATIKA","AZAMATIKA","2555430"
"Exotica: Petshop Simulator","1707195600000","10381","12.99","63223","9.639862476774537","84","Indie","Konrul Game","Konrul Game","2138580"
"Kamaeru: A Frog Refuge","1717819200000","3805","19.99","62891","5.384590955417545","88","Indie","Armor Games Studios","Humble Reeds","1978150"
"YEAH! YOU WANT ""THOSE GAMES,"" RIGHT? SO HERE YOU GO! NOW, LET'S SEE YOU CLEAR THEM! 2","1721174400000","6994","9.99","62883","1.7390408856523605","81","Indie","D3PUBLISHER","MONKEYCRAFT Co. Ltd.","2744230"
"The Quintessential Quintuplets - Five Memories Spent With You","1716436800000","2155","34.99","62867","11.95180978697573","97","AA","Spike Chunsoft Co., Ltd.","MAGES. Inc.","2507620"
