game,release_date,copies_sold,price,revenue,avg_playtime,review_score,publisher_class,publisher,developers,steam_id,total_revenue,revenue_percentage,days_in_market,average_price_per_hour
Super Dark Deception,2024-07-12,5783,17.99,86169.0,6.5,67,Indie,Glowstick Entertainment,Glowstick Entertainment,2193720,86169.0,100.0,59,2.77
The Shell Part II: Purgatorio,2024-04-18,4718,24.99,85885.0,13.6,98,Indie,Shiravune,Innocent Grey,2712550,811767.0,10.58,144,1.84
Idol Party,2024-08-15,9890,0.0,85835.0,18.9,76,Indie,LONGYOU TECHNOLOGY PTE.LTD.,LONGYOU TECHNOLOGY PTE.LTD.,2955300,85835.0,100.0,25,0.0
Mushoku Tensei: Jobless Reincarnation Quest of Memories,2024-06-19,2106,44.99,85274.0,6.6,66,Indie,Bushiroad Inc.,LANCARSE Ltd.,2459420,415727.0,20.51,82,6.82
Fantasy Amusement Park II,2024-05-31,17496,5.99,85154.0,2.4,73,Indie,Shark Shark Game,Cat Paw Game,2619510,85154.0,100.0,101,2.5
LustyVerse: Passion on Display,2024-03-22,14551,6.99,85060.0,7.2,76,Indie,Inceton games,Inceton games,2328740,193862.0,43.88,171,0.97
Mini Settlers,2024-08-08,10001,9.99,84846.0,7.6,95,Indie,"Goblinz Publishing,IndieArk",Knight Owl Games,2521630,279228.0,30.39,32,1.31
MY DESTINY GIRLS,2024-03-28,10132,9.99,84708.0,10.6,88,Indie,EpicDream Games,EpicDream Games,2766860,84708.0,100.0,165,0.94
SEX Campus🔞,2024-03-02,13345,9.99,84104.0,1.4,70,Indie,Romantic Room,Romantic Room,2833810,212015.0,39.67,191,7.14
Working Sakuya,2024-03-28,21999,6.99,83942.0,0.7,96,Indie,ぬるぬる坊主,ぬるぬる坊主,2861150,83942.0,100.0,165,9.99
Pet Shop Simulator,2024-06-21,7221,14.99,83875.0,6.3,76,Indie,"Games Incubator,PlayWay S.A.",Games Incubator,2401680,328912.0,25.5,80,2.38
Shadow of the Ninja - Reborn,2024-08-29,5173,19.99,83756.0,4.1,0,Indie,"NatsumeAtari,Edigger,United Games Entertainment GmbH",NatsumeAtari,2543760,83756.0,100.0,11,4.88
Mortal Glory 2,2024-03-04,9779,11.99,83727.0,12.0,89,Indie,Redbeak Games,Redbeak Games,2216660,83727.0,100.0,189,1.0
Hot Therapy,2024-03-24,7024,14.99,83552.0,1.8,74,Indie,YummySoft,YummySoft,2360260,83552.0,100.0,169,8.33
Distant Bloom,2024-03-27,5937,19.99,82715.0,6.0,84,Indie,Kinda Brave,Ember Trail,1450250,82715.0,100.0,166,3.33
Misha's incident,2024-01-21,9393,9.99,82653.0,3.4,86,Indie,Zetlaff,Zetlaff,2723520,82653.0,100.0,232,2.94
"Sex and the Furry Titty 3: Come Inside, Sweety",2024-05-16,10393,9.99,81316.0,4.1,91,Indie,Furlough Games PBS,Furlough Games,2221840,81316.0,100.0,116,2.44
Terra Memoria,2024-03-27,5444,19.99,80472.0,7.4,87,Indie,Dear Villagers,La Moutarde,1912750,80472.0,100.0,166,2.7
Hole Dweller,2024-01-19,11170,7.99,80323.0,8.2,98,Indie,"Thigh High Games,Shady Corner Games",Thigh High Games,2293850,80323.0,100.0,234,0.97
Girls of The Tower,2024-02-23,19531,6.99,80184.0,11.9,89,Indie,OKJOY,Robo Cat,2688680,144852.0,55.36,199,0.59
"Everlasting Flowers - Where there is a will, there is a way",2024-08-28,2966,29.99,80055.0,5.1,86,Indie,RIGHTWAY,"sprite,flowers.studio",2795270,80055.0,100.0,12,5.88
Let's take a bath with Purin 2,2024-07-11,6829,17.99,79862.0,1.3,79,Indie,Parabolica Games,Parabolica Games,2973500,79862.0,100.0,60,13.84
Step-Sister's Pussy 🔞,2024-05-04,11885,9.99,79636.0,1.4,66,Indie,Lust Desires 🖤,Lust Desires 🖤,2889280,411035.0,19.37,128,7.14
DEVIATOR,2024-08-01,13896,6.99,79632.0,4.2,72,AA,SapStaR Games,Gami Studio,2620730,79632.0,100.0,39,1.66
Berserk Boy,2024-03-06,5193,20.0,79600.0,4.5,94,Indie,BerserkBoy Games,BerserkBoy Games,1561340,79600.0,100.0,187,4.44
Sinners Landing,2024-03-21,6625,14.99,79552.0,6.4,92,Indie,Flexible Media,Flexible Media,1816140,79552.0,100.0,172,2.34
Klaroro - Abyss of the Soul,2024-06-24,13771,6.99,79363.0,1.2,81,Indie,"Mango Party,Mango Party News",Ccryu,2822010,4214598.0,1.88,77,5.83
Tortuga - A Pirate's Tale,2024-02-13,3832,24.99,79354.0,15.0,61,AA,Kalypso Media,Gaming Minds Studios,1604250,236532.0,33.55,209,1.67
Go Mecha Ball,2024-01-25,5660,19.99,78981.0,5.4,94,Indie,Super Rare Originals,Whale Peak Games,2008510,252483.0,31.28,228,3.7
Little Lives,2024-03-08,8703,12.99,78886.0,9.5,85,Indie,Houndstooth Games,Houndstooth Games,1505560,78886.0,100.0,185,1.37
Taora : Survival,2024-05-23,6923,13.99,78871.0,5.8,72,Indie,"Tulpar Games,TheGamesFortress",Tulpar Games,2165470,78871.0,100.0,109,2.41
Vampire Therapist,2024-07-18,5819,14.99,78504.0,5.4,98,Indie,Little Bat Games,Little Bat Games,2481020,78504.0,100.0,53,2.78
Dustborn,2024-08-20,2896,29.99,78165.0,6.6,70,Indie,Spotlight by Quantic Dream,Red Thread Games,721180,117488.0,66.53,20,4.54
Helskate,2024-02-15,4029,24.99,78067.0,3.5,85,Indie,Phantom Coast,Phantom Coast,1295630,78067.0,100.0,207,7.14
BioGun,2024-07-31,5251,19.99,78048.0,12.5,93,Indie,Ravenage Games,Dapper Dog Digital,1219240,168799.0,46.24,40,1.6
Древние Русы,2024-07-26,10257,12.99,77800.0,4.5,98,Indie,Honor Games,Honor Games,2669860,77800.0,100.0,45,2.89
My Special Summer Vacation 2,2024-06-27,6712,14.99,77507.0,3.3,75,Indie,Kagura Games,P.+,2923560,8701350.0,0.89,74,4.54
My Lovely Empress,2024-08-20,5046,19.99,77493.0,5.0,87,Indie,Neon Doctrine,"GameChanger Studio,Neon Doctrine",2052990,106916.0,72.48,20,4.0
RollScape,2024-05-22,13298,6.99,76991.0,3.6,85,Indie,Leonardo the Vinchy,Leonardo the Vinchy,2904290,76991.0,100.0,110,1.94
AsHes,2024-06-23,4181,24.99,76979.0,7.8,65,Indie,Yanmo Games,Yanmo Games,2455040,76979.0,100.0,78,3.2
World War Armies,2024-05-02,16595,0.0,76971.0,21.4,55,Indie,"Hypemasters, Inc.","Hypemasters, Inc.",2438160,76971.0,100.0,130,0.0
Hero Tale,2024-03-28,17823,4.99,76628.0,77.5,70,Indie,Weird Johnny Studio,Weird Johnny Studio,2513240,76628.0,100.0,165,0.06
HAREM！RANCH LIFE,2024-08-23,5238,17.99,76619.0,3.6,72,Indie,072 Project,GNT BOKUJO,2420240,2224410.0,3.44,17,5.0
Feather Party,2024-05-03,17907,4.99,76256.0,2.6,90,Indie,Teneke Kafalar Spotlight,threeW,2300230,76256.0,100.0,129,1.92
Family Breeding,2024-05-04,9451,9.99,75575.0,2.3,81,Indie,Whiteleaf Studio,Whiteleaf Studio,2853840,116644.0,64.79,128,4.34
CLICKOLDING,2024-07-16,30448,2.99,75559.0,1.0,87,Indie,"Strange Scaffold,Outersloth",Strange Scaffold,3011440,75559.0,100.0,55,2.99
Rugby 25,2024-06-28,2783,29.99,75115.0,4.5,31,AA,Nacon,Big Ant Studios,2340870,5496124.0,1.37,73,6.66
Retail Company Simulator,2024-08-06,7846,11.99,74807.0,14.4,95,Indie,Business Tycoon,Business Tycoon,3089130,74807.0,100.0,34,0.83
MADiSON VR,2024-05-02,2659,34.99,74572.0,3.3,80,Indie,BLOODIOUS GAMES,BLOODIOUS GAMES,2414550,74572.0,100.0,130,10.6
Movies Tycoon,2024-07-15,2928,29.99,74220.0,7.2,71,Indie,PixelCraze s.r.o.,PixelCraze s.r.o.,2659050,74220.0,100.0,56,4.17
Absolute Fear -AOONI- / 最恐 -青鬼-,2024-04-25,10121,9.99,74140.0,3.0,46,Indie,"LiTMUS Co., Ltd.","LiTMUS Co., Ltd.",2889120,74140.0,100.0,137,3.33
JOY OF PROGRAMMING - Software Engineering Simulator,2024-01-30,5061,17.99,73977.0,8.2,86,AA,PlayWay S.A.,Prof. Scherer,2216770,10925072.0,0.68,223,2.19
Love Sucks: Night Two,2024-04-26,8567,9.99,73926.0,7.1,0,Indie,Critical Bliss,Art Witch Studios,1719310,754815.0,9.79,136,1.41
Combat Mission: Final Blitzkrieg,2024-01-25,2318,59.99,73845.0,28.7,91,AA,Slitherine Ltd.,Battlefront,2676000,2916495.0,2.53,228,2.09
CUCKOLD'S GYM,2024-02-29,10845,9.99,73725.0,1.1,52,Indie,GeoCuck Group,GeoCuck Group,2757250,73725.0,100.0,193,9.08
Death From Above,2024-02-22,9370,9.99,73720.0,2.6,96,Indie,Lesser Evil,Rockodile,2300160,73720.0,100.0,200,3.84
Hot Office: Sex Story 🔞,2024-02-17,11261,9.99,73563.0,1.7,74,Indie,Romantic Room,Romantic Room,2727440,212015.0,34.7,205,5.88
Cartel Simulator,2024-01-06,8484,10.99,73464.0,6.3,69,Indie,ITK,ITK,2536490,73464.0,100.0,247,1.74
My Demonic Romance,2024-05-01,4332,19.99,73449.0,3.2,80,Indie,Andrealphus Games,Andrealphus Games,2370140,73449.0,100.0,131,6.25
Natsu-Mon: 20th Century Summer Kid,2024-06-26,2115,39.99,73248.0,5.8,100,AA,"Spike Chunsoft Co., Ltd.","TOYBOX Inc.,Millennium Kitchen Co., Ltd.",2839280,644677.0,11.36,75,6.89
Bewitching Sinners,2024-05-02,4546,17.99,73029.0,10.4,98,Indie,Miss Xero,Miss Xero,2615670,73029.0,100.0,130,1.73
Logiart Grimoire,2024-03-15,5375,19.99,73024.0,24.3,97,Indie,Jupiter Corporation,Jupiter Corporation,2492390,73024.0,100.0,178,0.82
Fatermyth,2024-04-23,8947,9.99,72746.0,7.2,84,Indie,Merlion Games,KDream,2530420,1342379.0,5.42,139,1.39
NejicomiSimulator TMA02 - My Own Dedicated Weak Pussy Cow Vtuber's Confinement and Training! Choke-Clamping Deep-Digging RIP to her Life Masochistic-Orgasm!- (cheeky big boob faphole understood her position),2024-05-23,3616,24.99,72642.0,15.2,86,Indie,"やぶから堂,LewdLoco","やぶから堂,たまぷろじぇくと",2432040,72642.0,100.0,109,1.64
Forgotten Seas,2024-06-07,3482,24.99,72549.0,23.0,83,Indie,indie.io,Pangea Game Studios,2168260,1950658.0,3.72,94,1.09
Malware,2024-07-31,32488,2.99,72453.0,1.9,88,Indie,Odd Games,Odd Games,3019370,72453.0,100.0,40,1.57
REAL ESTATE Simulator - FROM BUM TO MILLIONAIRE,2024-03-22,7849,12.99,72346.0,3.0,51,Indie,Midnight Games,Geekon,2738900,123714.0,58.48,171,4.33
SCHiM,2024-07-18,5057,24.99,72271.0,2.5,77,Indie,"Extra Nice,PLAYISM","Ewoud van der Werf,Nils Slijkerman",1519710,72271.0,100.0,53,10.0
KRITIKA: ZERO,2024-07-18,5464,0.0,72154.0,22.6,50,Indie,株式会社G・O・P,VALOFE,3007020,72154.0,100.0,53,0.0
Twilight Survivors,2024-04-01,29195,2.99,72149.0,10.2,89,Indie,DORIDORI STUDIO,DORIDORI STUDIO,2788310,72149.0,100.0,161,0.29
LakeSide,2024-03-25,6710,14.99,72013.0,3.1,68,Indie,Massive Galaxy Studios,Massive Galaxy Studios,1552220,72013.0,100.0,168,4.84
Sam & Max: The Devil's Playhouse,2024-08-14,4373,19.99,71874.0,8.4,99,Indie,Skunkape Games,Skunkape Games,2648050,71874.0,100.0,26,2.38
Paradise,2024-04-26,4217,19.99,71794.0,11.7,97,Indie,JAST BLUE,Pil/Slash,2708210,71794.0,100.0,136,1.71
Project Unknown,2024-07-12,8767,9.99,71342.0,3.0,89,Indie,Nightmare Studios,PsychoRavens,2115390,71342.0,100.0,59,3.33
Xiangsheng Simulator,2024-02-04,50829,2.99,71247.0,2.0,77,Indie,Wave Ecstacy,Wave Ecstacy,2734310,71247.0,100.0,218,1.5
Train Valley World,2024-08-09,4824,19.99,70779.0,7.7,72,AA,tinyBuild,Flazm,2244470,1100273.0,6.43,31,2.6
Ereban: Shadow Legacy,2024-04-10,3596,24.99,70723.0,6.0,89,Indie,Baby Robot Games,Baby Robot Games,1671360,70723.0,100.0,152,4.17
Fida Puti Samurai,2024-03-21,7866,11.99,70667.0,9.3,95,Indie,Zanardi and Liza,Zanardi and Liza,1534340,70667.0,100.0,172,1.29
Strategic Command WWII: War in the Pacific,2024-07-18,1963,39.99,70650.0,21.3,92,AA,Slitherine Ltd.,Fury Software,2740080,2916495.0,2.42,53,1.88
Iragon 18+,2024-02-14,3729,29.99,70561.0,2.7,40,Indie,SZH,Repulse,1097480,70561.0,100.0,208,11.11
Crab God,2024-06-20,4297,19.99,70526.0,6.7,88,Indie,Firesquid,Chaos Theory Games,2289390,1371080.0,5.14,81,2.98
Multiplayer Platform Golf,2024-02-29,15702,4.99,70517.0,3.0,92,Indie,Robot Assembly,Robot Assembly,2263920,70517.0,100.0,193,1.66
MACHI KORO With Everyone,2024-07-04,3439,24.99,70380.0,4.6,60,Indie,Grounding Inc.,Grounding Inc.,1969860,70380.0,100.0,67,5.43
Eden Island,2024-07-26,9646,14.99,70247.0,7.4,63,Indie,Moon Studio,Moon Studio,1974220,70247.0,100.0,45,2.03
Handsome Me with 100 Girlfriends!,2024-04-11,8623,9.99,70215.0,2.3,57,Indie,Day Day Up！,philosophy♂,2761510,101140.0,69.42,151,4.34
Aooni,2024-07-25,11885,9.99,70127.0,2.7,72,Indie,Game Studio Inc.,Game Studio Inc.,2934190,70127.0,100.0,46,3.7
Kingsvein,2024-01-16,4273,19.99,70094.0,14.4,0,Indie,Rad Codex,Rad Codex,2276830,70094.0,100.0,237,1.39
Genome Guardian,2024-05-07,9474,11.99,69687.0,16.5,95,Indie,Alpherior,Alpherior,2891310,69687.0,100.0,125,0.73
X Invader,2024-08-12,18675,4.99,69616.0,9.4,80,Indie,ALLAF GAMES,ALLAF GAMES,2090760,69616.0,100.0,28,0.53
Doom Sweeper,2024-06-08,20562,4.99,69495.0,11.4,77,Indie,Paper Dog,Paper Dog,2162680,69495.0,100.0,93,0.44
Dungeon Vixens: A Tale of Temptation,2024-04-08,13651,5.99,68967.0,1.8,78,Indie,Shady Corner Games,Dualarcade,2710970,254545.0,27.09,154,3.33
I Wanna Fuck my Mom's Best Friend,2024-08-09,6151,14.99,68584.0,1.3,74,Indie,Cherry Kiss Games,Orcsoft,3067200,68584.0,100.0,31,11.53
Farewell North,2024-08-16,3905,23.99,68091.0,4.1,99,Indie,Mooneye Studios,Kyle Banks,1432850,68091.0,100.0,24,5.85
Fetish Room 18+,2024-04-27,8056,14.99,68004.0,1.3,58,Indie,Octo Games,Octo Games,2487120,155022.0,43.87,135,11.53
エルミナージュORIGINAL ～闇の巫女と神々の指輪～,2024-05-23,5917,16.99,67981.0,27.0,78,Indie,mebius.,"mebius.,Anura Bless,STARFISH SD",2392310,93938.0,72.37,109,0.63
Toy Shire,2024-08-26,8399,9.99,67956.0,2.7,99,Indie,Catoptric Games,Bluespy Studios,2361460,67956.0,100.0,14,3.7
Doll Impostor,2024-03-28,13779,6.99,67755.0,4.8,97,Indie,HeadArrow,HeadArrow,2882870,67755.0,100.0,165,1.46
Fog of War: Book One,2024-06-09,7273,11.99,67732.0,4.1,84,Indie,Story Machine Studios,Story Machine Studios,2676180,67732.0,100.0,92,2.92
Tallowmere 2: Curse of the Kittens,2024-02-19,11885,9.99,67713.0,18.5,83,Indie,"Chris McFarland,Lightning Games",Chris McFarland,655740,67713.0,100.0,203,0.54
HEARTSHOT,2024-03-03,5258,14.99,67643.0,1.2,71,Indie,Meadow Studios,Meadow Studios,2702700,67643.0,100.0,190,12.49
Special Operations Unit - SIGNAL FORCES,2024-03-21,9145,8.99,67599.0,2.6,85,Indie,Mango Party,ankoku marimokan,2311820,67599.0,100.0,172,3.46
Let's Minesweeper,2024-07-24,16670,4.99,67473.0,6.2,81,Indie,SUNJOY GAME,SUNJOY GAME,2865580,67473.0,100.0,47,0.8
Mech Builder,2024-07-16,8717,9.99,67468.0,4.2,75,Indie,Don Pachi,Don Pachi,2870420,67468.0,100.0,55,2.38
Renaissance Kingdom Wars,2024-07-15,3341,24.99,67386.0,2.4,76,Indie,indie.io,Reverie World Studios,2533020,1950658.0,3.45,56,10.41
The Symbiant Re:Union,2024-01-29,5451,14.99,67132.0,2.5,93,Indie,HeartCoreDev,HeartCoreDev,2355140,67132.0,100.0,224,6.0
Imperial Lovers,2024-06-07,6059,14.99,66935.0,3.7,86,Indie,Pink Pixel Games,LAPLACE,2821040,66935.0,100.0,94,4.05
撩妹模拟器：渣男的秘密,2024-05-17,11788,6.99,66927.0,1.9,82,Indie,DeerRiver,DeerRiver,2719190,66927.0,100.0,115,3.68
Dog Brew,2024-04-30,24238,3.5,66829.0,2.4,98,Indie,"Yuliy Oneshko,S-Grade","Yuliy Oneshko,S-Grade",2883280,66829.0,100.0,132,1.46
Royal Order,2024-03-29,2632,29.99,66782.0,11.6,93,Indie,Nifty Productions,Nifty Visuals,1749010,66782.0,100.0,164,2.59
Magical Delicacy,2024-07-16,3192,24.99,66573.0,9.9,75,Indie,Whitethorn Games,Skaule,2231190,329577.0,20.2,55,2.52
The Cub,2024-01-19,7919,14.99,66322.0,2.1,87,Indie,"Untold Tales,Gamersky Games",Demagog Studio,1941410,115251.0,57.55,234,7.14
Time Treker,2024-07-09,11364,6.99,66300.0,5.9,78,Indie,"Leyo Games,2P Games",Fuse Game,2776500,66300.0,100.0,62,1.18
Hoofobia,2024-02-23,9279,9.99,66052.0,2.2,72,Indie,Deathyell Games,Deathyell Games,2467300,66052.0,100.0,199,4.54
CYGNI: All Guns Blazing,2024-08-05,2604,29.99,66026.0,4.2,62,AA,KONAMI,KeelWorks,1248080,1278393.0,5.16,35,7.14
Rebel Transmute,2024-03-11,4028,19.99,65739.0,8.7,79,Indie,JanduSoft,Evan Tor Games,1191660,275317.0,23.88,182,2.3
Dungeons of Blood and Dream,2024-05-27,4567,15.99,65723.0,6.0,96,Indie,Lori Vornoy,Lori Vornoy,2488590,65723.0,100.0,105,2.67
Cafe Maid - Hentai Edition,2024-02-22,4316,19.99,65693.0,14.6,73,Indie,Woop Media,Sexy Hentai Games Factory,1586710,65693.0,100.0,200,1.37
Monsters Domain,2024-04-05,5032,19.99,65271.0,4.2,44,Indie,"G-DEVS.com,CreativeForge Games",G-DEVS.com,1442450,534646.0,12.21,157,4.76
Doki Doki AI Interrogation,2024-05-24,22562,3.49,65249.0,1.5,82,Indie,YAMADA,YAMADA,2844700,65249.0,100.0,108,2.33
Growtopia,2024-03-07,37131,0.0,65173.0,7.4,31,AAA,Ubisoft,Ubisoft Abu Dhabi,866020,6454138.0,1.01,186,0.0
Fuck You Witch,2024-03-29,8355,9.99,65063.0,1.0,92,Indie,Beshbarmak games,Beshbarmak games,2736020,65063.0,100.0,164,9.99
月藍傳奇REMAKE古文明之謎,2024-02-11,2607,19.99,65028.0,40.4,96,Indie,RMAsia,"天使蛋糕,攸藍,牙籤,黃金,咕咕咕,鎧特",2391680,65028.0,100.0,211,0.49
CUM Queens 🔞💦,2024-02-10,10518,9.99,64931.0,1.6,67,Indie,BanzaiProject,BanzaiProject,2711320,193027.0,33.64,212,6.24
Mothers and Daughters,2024-01-02,7578,9.99,64494.0,4.4,67,Indie,Spin256,Spin256,2508400,64494.0,100.0,251,2.27
Zero Division,2024-07-11,6099,12.99,64472.0,7.7,88,Indie,Astrolabe Games,Robot Cat Limited,2181950,209173.0,30.82,60,1.69
LAPIDARY: Jewel Craft Simulator,2024-03-25,9702,7.99,64395.0,4.0,82,Indie,THINK & FEEL,THINK & FEEL,2539820,64395.0,100.0,168,2.0
Preserve,2024-08-08,6779,12.49,64320.0,5.1,95,Indie,Grindstone,Bitmap Galaxy,2109270,100755.0,63.84,32,2.45
VoidBound,2024-05-24,3945,19.99,64291.0,4.5,93,Indie,Shady Corner Games,CursedAtelier,2500710,254545.0,25.26,108,4.44
Witch and Lilies,2024-05-23,3338,24.99,64035.0,13.4,45,Indie,Stromatosoft Inc.,"Stromatosoft Inc.,株式会社タストα",2525810,64035.0,100.0,109,1.86
挂姬恶魔 IDLE DEVILS,2024-01-30,23630,3.99,63683.0,76.2,80,Indie,"GOCORE,NPC Entertainment",GOCORE,2226700,63683.0,100.0,223,0.05
Der Königsruf,2024-05-05,710,0.0,63264.0,26.3,57,Indie,Starlight Games,Starlight Games,2916840,63264.0,100.0,127,0.0
TRADESMAN: Deal to Dealer,2024-06-18,23503,2.99,63246.0,10.3,0,Indie,AZAMATIKA,AZAMATIKA,2555430,63246.0,100.0,83,0.29
Exotica: Petshop Simulator,2024-02-06,10381,12.99,63223.0,9.6,84,Indie,Konrul Game,Konrul Game,2138580,63223.0,100.0,216,1.35
Kamaeru: A Frog Refuge,2024-06-08,3805,19.99,62891.0,5.4,88,Indie,Armor Games Studios,Humble Reeds,1978150,169091.0,37.19,93,3.7
"YEAH! YOU WANT ""THOSE GAMES,"" RIGHT? SO HERE YOU GO! NOW, LET'S SEE YOU CLEAR THEM! 2",2024-07-17,6994,9.99,62883.0,1.7,81,Indie,D3PUBLISHER,MONKEYCRAFT Co. Ltd.,2744230,7945034.0,0.79,54,5.88
The Quintessential Quintuplets - Five Memories Spent With You,2024-05-23,2155,34.99,62867.0,12.0,97,AA,"Spike Chunsoft Co., Ltd.",MAGES. Inc.,2507620,644677.0,9.75,109,2.92
LurkBait Twitch Fishing,2024-02-21,9946,7.0,62659.0,97.5,97,Indie,BLAMCAM Interactive,BLAMCAM Interactive,2767520,62659.0,100.0,201,0.07
Athenian Rhapsody,2024-05-14,5384,14.99,62520.0,7.2,91,Indie,"Top Hat Studios, Inc.",Nico Papalia,1671720,174499.0,35.83,118,2.08
Astro Looter: Survivor,2024-07-15,9505,6.99,62500.0,1.5,80,Indie,Soda Game Studio,Soda Game Studio,2871930,62500.0,100.0,56,4.66
Writer's Rush,2024-01-22,12123,5.99,62445.0,2.3,0,Indie,Frogstorm,Frogstorm,2745800,62445.0,100.0,231,2.6
Incremental Factory,2024-01-29,8945,8.99,62413.0,18.4,76,Indie,Significant Steak,Significant Steak,2449430,62413.0,100.0,224,0.49
Frogmonster,2024-04-02,3920,19.99,62346.0,7.5,0,Indie,Ben Jungwirth,Ben Jungwirth,1853760,62346.0,100.0,160,2.67
Space for Sale,2024-07-30,4309,19.99,62334.0,2.6,62,Indie,Mirage Game Studios,Mirage Game Studios,1624060,62334.0,100.0,41,7.69
Bloody Heaven 2,2024-05-11,15453,4.99,62317.0,2.6,87,Indie,ShaneGame,ShaneGame,2816940,62317.0,100.0,121,1.92
Wishful Journey:Love Across Time,2024-04-24,7540,9.99,62138.0,4.1,91,Indie,Hillhouse Holdings Limited,Hillhouse Holdings Limited,2867510,62138.0,100.0,138,2.44
Transpile Girl Rescue Operation!,2024-02-29,9467,7.99,62059.0,2.1,81,Indie,"Mango Party,Mango Party News",Backflip WildCAT,2613010,4214598.0,1.47,193,3.8
Charming Hearts,2024-06-13,8239,9.99,61946.0,6.8,88,Indie,坤舆科技,"坤舆科技,一冉影视",2817140,61946.0,100.0,88,1.47
Mad World  - Age of Darkness - MMORPG,2024-01-25,16540,0.0,61737.0,19.3,46,Indie,Jandisoft,Jandisoft,771580,61737.0,100.0,228,0.0
Just Crow Things,2024-08-15,3701,19.99,61496.0,3.3,96,Indie,Unbound Creations,Unbound Creations,2537920,61496.0,100.0,25,6.06
College Bowl,2024-06-20,3168,24.99,61396.0,18.2,90,Indie,Super Pixel Games,Super Pixel Games,1226160,61396.0,100.0,81,1.37
The Emperor and State,2024-07-26,5274,14.99,61289.0,11.9,55,Indie,Hawthorn Games,涂途,2716930,61289.0,100.0,45,1.26
Ants Took My Eyeball,2024-04-19,4411,16.99,61223.0,9.0,93,Indie,Bosmic Forge,Bosmic Forge,1627890,61223.0,100.0,143,1.89
Zoo Simulator,2024-07-26,3737,19.99,61087.0,3.3,79,Indie,"Games Incubator,PlayWay S.A.",Games Incubator,2129220,328912.0,18.57,45,6.06
Lagoon Lounge 2 : The Secret Roommate,2024-01-26,5279,13.99,61068.0,3.1,99,Indie,KAIJYU-09,KAIJYU-09,2754340,61068.0,100.0,227,4.51
失乐星图Nornium,2024-08-09,67552,0.0,60846.0,2.2,15,Indie,Flaring Cloister,Flaring Cloister,2877160,60846.0,100.0,31,0.0
Firefighter Connor,2024-04-30,8216,8.99,60731.0,2.2,94,Indie,XSSPACE,XSSPACE,2384920,60731.0,100.0,132,4.09
STEPMOM: Milf Scandal 💖,2024-04-06,8747,9.99,60707.0,1.7,74,Indie,Lust Desires 🖤,Lust Desires 🖤,2879480,411035.0,14.77,156,5.88
Fossilfuel 2,2024-02-19,3536,19.99,60574.0,3.4,83,Indie,DangerousBob Studio LLC,DangerousBob Studio LLC,2299660,60574.0,100.0,203,5.88
Grim Realms,2024-03-16,7912,14.99,60485.0,22.2,81,Indie,Edym Pixels,Edym Pixels,1522280,60485.0,100.0,177,0.68
Dragon Island,2024-03-11,4540,15.99,60119.0,5.3,49,Indie,Kulplant,Kulplant,1554470,60119.0,100.0,182,3.02
Vendir: Plague of Lies,2024-05-30,5394,14.99,60002.0,7.9,77,Indie,Early Morning Studio,Early Morning Studio,1478850,60002.0,100.0,102,1.9
TFC: The Fertile Crescent,2024-06-13,6084,14.99,59978.0,9.1,93,Indie,Wield Interactive,Wield Interactive,1674820,59978.0,100.0,88,1.65
Quest Master,2024-05-29,3682,19.99,59887.0,14.2,98,Indie,Apogee Entertainment,"Julian Creutz,Skydevilpalm",2094070,59887.0,100.0,103,1.41
The Quintessential Quintuplets - Memories of a Quintessential Summer,2024-05-23,2062,34.99,59790.0,6.7,94,AA,"Spike Chunsoft Co., Ltd.",MAGES. Inc.,2507610,644677.0,9.27,109,5.22
Venture to the Vile,2024-05-21,2933,24.99,59625.0,8.2,75,Indie,Aniplex Inc.,Studio Cut to Bits,2153750,1087427.0,5.48,111,3.05
Victory at Sea Atlantic - World War II Naval Warfare,2024-04-05,1822,39.99,59473.0,6.7,65,Indie,Evil Twin Artworks,Evil Twin Artworks,1674830,59473.0,100.0,157,5.97
The World's Egg - For Those Who Dream,2024-03-29,6239,12.99,59464.0,3.6,84,Indie,Kagura Games,Hasoyua,2614670,8701350.0,0.68,164,3.61
Lunar's Chosen - Episode 2,2024-03-28,5851,11.99,59390.0,2.8,72,Indie,PTGames,PTGames,2697200,112910.0,52.6,165,4.28
Be My Horde,2024-06-18,13942,4.99,59326.0,4.3,88,Indie,Polished Games,Polished Games,2499520,59326.0,100.0,83,1.16
King of the Bridge,2024-03-08,21749,2.99,59016.0,2.2,96,Indie,Finn Schuuring,Finn Schuuring,2523120,59016.0,100.0,185,1.36
Inkbound,2024-04-09,156820,29.99,3139302.0,29.5,91,Indie,Shiny Shoe,Shiny Shoe,1062810,3139302.0,100.0,153,1.02
Sky: Children of the Light,2024-04-10,529290,0.0,3087626.0,30.5,84,Indie,thatgamecompany,thatgamecompany,2325290,3087626.0,100.0,152,0.0
古龙风云录,2024-02-01,158807,29.99,3080764.0,21.4,60,Indie,心火游戏,香港商河洛互動娛樂股份有限公司,2340650,3080764.0,100.0,221,1.4
HELLCARD,2024-02-01,208084,24.99,3008517.0,15.3,85,Indie,"Skystone Games,Surefire.Games",Thing Trunk,1201540,3008517.0,100.0,221,1.63
ASKA,2024-06-20,147273,24.99,2986028.0,30.7,79,Indie,Thunderful Publishing,Sand Sailor Studio,1898300,3538110.0,84.4,81,0.81
